# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Timezones	North America	Cities and Regions	Nipigon	ab	Нипигон	▷removed◁	moderate
Timezones	North America	Cities and Regions	Pangnirtung	ab	Пангниртанг	▷removed◁	moderate
Timezones	North America	Cities and Regions	Rainy_River	ab	Реини-Ривер	▷removed◁	moderate
Timezones	North America	Cities and Regions	Thunder_Bay	ab	Тандер-Беи	▷removed◁	moderate
Timezones	North America	Cities and Regions	Yellowknife	ab	Иеллоунаиф	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Uzhgorod	ab	Ужҳород	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Zaporozhye	ab	Запороже	▷removed◁	moderate
Timezones	Oceania	Cities and Regions	Johnston	ab	Џонстон	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	ab	Маккуори	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	ab	Аҩадамра-Ҭашәаратәи амексикатә аамҭа	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	ab	Аҩадамра-Ҭашәаратәи амексикатә астандартә аамҭа	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	ab	Аҩадамра-Ҭашәаратәи амексикатә аԥхынтәи аамҭа	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	collation	collation-reformed	af	Gereformeerde sorteervolgorde	▷removed◁	comprehensive
Timezones	North America	Cities and Regions	Rainy_River	af	Rainyrivier	▷removed◁	moderate
Timezones	North America	Cities and Regions	Santa_Isabel	af	Santa Isabel	▷removed◁	moderate
Timezones	North America	Cities and Regions	Thunder_Bay	af	Thunderbaai	▷removed◁	moderate
Timezones	Australasia	Cities and Regions	Currie	af	Currie	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	af	Macquarie-eiland-tyd	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	af	Noordwes-Meksiko-tyd	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	af	Noordwes-Meksiko-standaardtyd	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	af	Noordwes-Meksiko-dagligtyd	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	collation	collation-reformed	am	ዳግም የተፈጠረ የድርድር ቅደም ተከተል	▷removed◁	comprehensive
Timezones	North America	Cities and Regions	Nipigon	am	ኒፒጎን	▷removed◁	moderate
Timezones	North America	Cities and Regions	Pangnirtung	am	ፓንግኒርተንግ	▷removed◁	moderate
Timezones	North America	Cities and Regions	Rainy_River	am	ሬኒ ሪቨር	▷removed◁	moderate
Timezones	North America	Cities and Regions	Santa_Isabel	am	ሳንታ ኢዛቤል	▷removed◁	moderate
Timezones	North America	Cities and Regions	Thunder_Bay	am	ተንደር ቤይ	▷removed◁	moderate
Timezones	North America	Cities and Regions	Yellowknife	am	የሎውናይፍ	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Uzhgorod	am	ኡዝጎሮድ	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Zaporozhye	am	ዛፖሮዚይ	▷removed◁	moderate
Timezones	Australasia	Cities and Regions	Currie	am	ከሪ	▷removed◁	moderate
Timezones	Oceania	Cities and Regions	Johnston	am	ጆንስተን	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	am	የማከሪ ደሴት ሰዓት	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	am	ሰሜናዊ ምእራብ የሜክሲኮ ሰዓት አቆጣጠር	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	am	ሰሜናዊ ምእራብ የሜክሲኮ መደበኛ ሰዓት አቆጣጠር	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	am	ሰሜናዊ ምእራብ የሜክሲኮ የቀን ሰዓት አቆጣጠር	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	collation	collation-reformed	ar	‫الترتيب المحسَّن‬	▷removed◁	comprehensive
Timezones	North America	Cities and Regions	Nipigon	ar	‫نيبيجون‬	▷removed◁	moderate
Timezones	North America	Cities and Regions	Pangnirtung	ar	‫بانجينتينج‬	▷removed◁	moderate
Timezones	North America	Cities and Regions	Rainy_River	ar	‫راني ريفر‬	▷removed◁	moderate
Timezones	North America	Cities and Regions	Santa_Isabel	ar	‫سانتا إيزابيل‬	▷removed◁	moderate
Timezones	North America	Cities and Regions	Thunder_Bay	ar	‫ثندر باي‬	▷removed◁	moderate
Timezones	North America	Cities and Regions	Yellowknife	ar	‫يلونيف‬	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Uzhgorod	ar	‫أوزجرود‬	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Zaporozhye	ar	‫زابوروزي‬	▷removed◁	moderate
Timezones	Australasia	Cities and Regions	Currie	ar	‫كوري‬	▷removed◁	moderate
Timezones	Oceania	Cities and Regions	Johnston	ar	‫جونستون‬	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	ar	‫توقيت ماكواري‬	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	ar	‫توقيت شمال غرب المكسيك‬	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	ar	‫التوقيت الرسمي لشمال غرب المكسيك‬	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	ar	‫التوقيت الصيفي لشمال غرب المكسيك‬	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Timezones	North America	Cities and Regions	Nipigon	as	নিপিগন	▷removed◁	moderate
Timezones	North America	Cities and Regions	Pangnirtung	as	পাংনিৰ্টুংগ	▷removed◁	moderate
Timezones	North America	Cities and Regions	Rainy_River	as	ৰেইনী নদী	▷removed◁	moderate
Timezones	North America	Cities and Regions	Thunder_Bay	as	থাণ্ডাৰ উপসাগৰ	▷removed◁	moderate
Timezones	North America	Cities and Regions	Yellowknife	as	য়েল্লোনাইফ	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Uzhgorod	as	উজ্গোৰোড	▷removed◁	moderate
Timezones	Europe	Cities and Regions	Zaporozhye	as	জাপোৰোজাই	▷removed◁	moderate
Timezones	Australasia	Cities and Regions	Currie	as	ক্যুৰি	▷removed◁	moderate
Timezones	Oceania	Cities and Regions	Johnston	as	জনষ্টন	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	as	মেক্‌কুৱেৰী দ্বীপৰ সময়	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	as	উত্তৰ-পশ্চিম মেক্সিকোৰ সময়	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	as	উত্তৰ-পশ্চিম মেক্সিকোৰ মান সময়	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	as	উত্তৰ-পশ্চিম মেক্সিকোৰ ডেলাইট সময়	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Locale Display Names	Keys	collation	collation-reformed	ast	orde de clasificación reformáu	▷removed◁	comprehensive
Timezones	North America	Cities and Regions	Santa_Isabel	ast	Santa Isabel	▷removed◁	moderate
Timezones	Australasia	Cities and Regions	Currie	ast	Currie	▷removed◁	moderate
Timezones	Unknown Region	Macquarie	standard-long	ast	Hora de la Islla Macquarie	▷removed◁	comprehensive
Timezones	Unknown Region	Mexico_Northwest	generic-long	ast	Hora del noroeste de Méxicu	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	standard-long	ast	Hora estándar del noroeste de Méxicu	▷removed◁	moderate
Timezones	Unknown Region	Mexico_Northwest	daylight-long	ast	Hora braniega del noroeste de Méxicu	▷removed◁	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Timezones	North America	Cities and Regions	Nipigon	az	Nipiqon	▷removed◁	moderate
