# percentages are of *new* total
# dir	file	added	deleted	changed	total
TOTAL		76’422	9’271	26’942	1’924’165
annotations	af.xml	809	278	106	7’670
annotations	am.xml	152	0	0	6’470
annotations	ar.xml	428	0	2	6’468
annotations	ar_SA.xml	0	0	0	2
annotations	as.xml	386	12	2	6’868
annotations	ast.xml	0	0	0	42
annotations	az.xml	406	17	7	6’902
annotations	be.xml	653	147	101	7’511
annotations	bg.xml	383	1	8	6’702
annotations	bn.xml	436	38	19	7’145
annotations	br.xml	102	35	30	1’057
annotations	bs.xml	455	71	27	6’793
annotations	ca.xml	480	61	40	7’221
annotations	ccp.xml	0	0	0	464
annotations	ceb.xml	7	0	0	7
annotations	chr.xml	608	233	51	7’033
annotations	cs.xml	541	3	0	9’222
annotations	cy.xml	405	0	5	6’596
annotations	da.xml	465	14	2	6’729
annotations	de.xml	382	0	0	6’547
annotations	de_CH.xml	110	0	1	473
annotations	el.xml	487	56	44	6’992
annotations	en.xml	416	6	2	6’789
annotations	en_001.xml	125	39	12	1’229
annotations	en_AU.xml	14	0	0	833
annotations	en_CA.xml	31	0	0	470
annotations	en_GB.xml	79	3	0	213
annotations	en_IN.xml	0	0	0	11
annotations	es.xml	483	8	22	7’447
annotations	es_419.xml	761	344	104	4’955
annotations	es_MX.xml	291	4	2	2’619
annotations	es_US.xml	316	14	1	1’295
annotations	et.xml	425	8	26	6’891
annotations	eu.xml	603	171	17	7’538
annotations	fa.xml	479	191	14	7’953
annotations	fi.xml	390	19	2	7’552
annotations	fil.xml	453	164	6	7’926
annotations	fo.xml	956	171	160	7’542
annotations	fr.xml	426	9	3	6’227
annotations	fr_CA.xml	344	41	17	3’949
annotations	ga.xml	163	9	4	6’408
annotations	gd.xml	500	2	16	8’136
annotations	gl.xml	493	129	1	7’096
annotations	gu.xml	523	45	17	6’987
annotations	he.xml	540	52	28	7’270
annotations	hi.xml	446	29	5	7’155
annotations	hr.xml	411	16	15	6’819
annotations	hu.xml	383	1	1	7’035
annotations	hy.xml	529	110	27	7’073
annotations	ia.xml	82	15	15	423
annotations	id.xml	414	20	11	7’149
annotations	is.xml	403	4	3	6’701
annotations	it.xml	418	13	13	7’035
annotations	ja.xml	450	14	0	7’599
annotations	jv.xml	388	8	2	6’753
annotations	ka.xml	428	37	0	7’279
annotations	kab.xml	6	6	6	680
annotations	kk.xml	380	4	10	6’688
annotations	km.xml	1’005	340	104	6’909
annotations	kn.xml	621	143	49	6’527
annotations	ko.xml	381	0	0	6’471
annotations	kok.xml	5’565	1’411	1’409	8’385
annotations	ku.xml	0	0	0	76
annotations	ky.xml	152	0	0	6’338
annotations	lo.xml	401	46	15	6’474
annotations	lt.xml	367	1	0	6’623
annotations	lv.xml	491	39	29	6’908
annotations	mk.xml	519	42	16	6’658
annotations	ml.xml	88	0	1	6’821
annotations	mn.xml	439	75	8	6’508
annotations	mr.xml	3’548	1’058	0	8’248
annotations	ms.xml	402	17	6	6’918
annotations	my.xml	658	171	2	6’452
annotations	nb.xml	737	71	7	7’516
annotations	ne.xml	365	2	0	6’908
annotations	nl.xml	358	3	16	6’932
annotations	nn.xml	0	0	0	130
annotations	or.xml	795	327	2	7’286
annotations	pa.xml	370	0	0	7’377
annotations	pl.xml	430	14	13	7’105
annotations	ps.xml	740	160	22	6’794
annotations	pt.xml	437	15	7	7’060
annotations	pt_PT.xml	257	60	8	6’065
annotations	qu.xml	0	0	0	40
annotations	ro.xml	374	24	13	7’234
annotations	root.xml	1’488	1’336	1’336	4’310
annotations	ru.xml	434	1	22	8’464
annotations	sd.xml	400	7	1	6’200
annotations	si.xml	434	45	12	7’051
annotations	sk.xml	402	13	21	7’195
annotations	sl.xml	465	7	6	7’350
annotations	so.xml	2	1	0	6’605
annotations	sq.xml	398	4	1	6’904
annotations	sr.xml	381	17	15	7’076
annotations	sr_Cyrl_BA.xml	0	0	0	8
annotations	sr_Latn.xml	374	38	15	7’069
