# percentages are of *new* total
# dir	file	added	deleted	changed	total
TOTAL		89,499	15,669	25,771	2,069,531
annotations	af.xml	1,433	142	81	9,068
annotations	am.xml	377	6	3	7,093
annotations	ar.xml	497	2	8	7,235
annotations	ar_SA.xml	0	0	0	2
annotations	as.xml	520	58	7	7,615
annotations	ast.xml	0	0	0	42
annotations	az.xml	565	10	0	7,698
annotations	be.xml	459	5	2	8,071
annotations	bg.xml	607	183	162	7,542
annotations	bn.xml	551	93	2	7,863
annotations	br.xml	2,105	586	585	4,234
annotations	bs.xml	1,143	212	71	8,110
annotations	ca.xml	520	25	4	7,927
annotations	ccp.xml	0	0	0	464
annotations	ceb.xml	0	0	0	7
annotations	chr.xml	9	0	0	7,048
annotations	ckb.xml	0	0	1	1
annotations	cs.xml	621	2	4	10,142
annotations	cy.xml	723	123	21	7,564
annotations	da.xml	1,076	5	14	8,073
annotations	de.xml	604	93	61	7,443
annotations	de_CH.xml	231	7	8	640
annotations	el.xml	544	44	13	7,727
annotations	en.xml	948	3	6	7,969
annotations	en_001.xml	436	69	5	1,677
annotations	en_AU.xml	38	19	9	1,012
annotations	en_CA.xml	407	55	16	905
annotations	en_GB.xml	448	74	3	855
annotations	en_IN.xml	0	3	0	40
annotations	es.xml	520	53	10	8,242
annotations	es_419.xml	276	31	6	4,283
annotations	es_MX.xml	539	42	18	3,264
annotations	es_US.xml	2,472	836	207	5,014
annotations	et.xml	558	38	22	7,680
annotations	eu.xml	645	337	47	8,257
annotations	fa.xml	812	64	14	8,817
annotations	fi.xml	521	56	7	8,306
annotations	fil.xml	895	5	3	8,903
annotations	fo.xml	95	18	7	7,485
annotations	fr.xml	551	67	13	7,008
annotations	fr_CA.xml	463	206	5	4,689
annotations	ga.xml	749	65	44	7,266
annotations	gd.xml	896	7	25	9,314
annotations	gl.xml	497	364	15	7,709
annotations	gu.xml	424	71	13	7,606
annotations	ha.xml	4	0	0	4
annotations	he.xml	532	2	2	8,020
annotations	hi.xml	508	19	5	7,880
annotations	hr.xml	485	54	13	7,525
annotations	hu.xml	550	12	10	7,838
annotations	hy.xml	973	69	47	8,177
annotations	ia.xml	0	0	0	408
annotations	id.xml	516	19	11	7,884
annotations	ig.xml	4	0	1	5
annotations	is.xml	691	16	10	7,630
annotations	it.xml	496	24	16	7,783
annotations	ja.xml	540	14	5	8,406
annotations	jv.xml	398	28	9	7,390
annotations	ka.xml	564	1	3	8,058
annotations	kab.xml	0	0	0	674
annotations	kk.xml	654	9	4	7,577
annotations	km.xml	959	138	44	7,780
annotations	kn.xml	982	26	9	7,620
annotations	ko.xml	497	21	8	7,200
annotations	kok.xml	982	442	142	8,041
annotations	ku.xml	0	0	0	76
annotations	ky.xml	510	70	38	7,010
annotations	lo.xml	983	34	4	7,669
annotations	lt.xml	610	6	7	7,461
annotations	lv.xml	692	23	4	7,809
annotations	mai.xml	4	0	0	4
annotations	mi.xml	4	0	0	4
annotations	mk.xml	546	29	6	7,393
annotations	ml.xml	722	274	26	8,096
annotations	mn.xml	1,550	584	97	8,224
annotations	mni.xml	6	0	1	7
annotations	mr.xml	691	91	20	8,052
annotations	ms.xml	514	46	9	7,657
annotations	my.xml	1,116	407	23	7,643
annotations	nb.xml	658	73	10	8,412
annotations	ne.xml	572	123	0	7,727
annotations	nl.xml	1,002	578	16	8,171
annotations	nn.xml	6,419	1,552	1,524	9,581
annotations	or.xml	824	18	3	8,012
annotations	pa.xml	689	49	3	8,309
annotations	pcm.xml	2,103	1,650	158	9,233
annotations	pl.xml	429	14	5	7,773
annotations	ps.xml	372	9	1	7,256
annotations	pt.xml	417	10	8	7,699
annotations	pt_PT.xml	582	48	22	6,937
annotations	qu.xml	3,534	1,036	1,217	5,827
annotations	rm.xml	55	18	20	93
annotations	ro.xml	674	70	5	8,128
annotations	root.xml	664	0	0	3,746
annotations	ru.xml	515	42	7	9,248
annotations	sat.xml	4	0	0	4
annotations	sd.xml	450	80	25	6,889
annotations	si.xml	416	5	4	7,677
annotations	sk.xml	445	112	19	7,879
annotations	sl.xml	539	6	7	8,126
annotations	so.xml	243	51	13	7,459
annotations	sq.xml	623	80	2	7,758
annotations	sr.xml	938	849	2	8,228
annotations	sr_Cyrl_BA.xml	1,145	1,390	218	4,464
annotations	sr_Latn.xml	0	0	0	7,163
annotations	sr_Latn_BA.xml	0	0	0	8
annotations	su.xml	4	0	0	4
annotations	sv.xml	918	24	4	7,627
annotations	sw.xml	392	73	20	7,585
annotations	sw_KE.xml	0	0	0	244
annotations	ta.xml	553	15	1	7,588
annotations	te.xml	586	18	3	7,404
annotations	tg.xml	4	0	0	4
annotations	th.xml	960	47	24	7,548
annotations	ti.xml	1,190	251	251	1,692
annotations	tk.xml	583	247	24	7,751
annotations	to.xml	877	195	63	4,153
annotations	tr.xml	915	30	9	8,169
annotations	tt.xml	4	0	0	4
annotations	uk.xml	511	72	12	8,268
annotations	ur.xml	529	91	13	7,600
annotations	uz.xml	399	82	25	7,868
annotations	vi.xml	560	29	22	7,715
annotations	wo.xml	4	0	0	4
annotations	yo.xml	4	0	0	4
annotations	yue.xml	367	27	4	7,465
annotations	yue_Hans.xml	0	0	0	7,145
annotations	zh.xml	504	17	12	7,682
annotations	zh_Hant.xml	515	6	11	5,706
annotations	zh_Hant_HK.xml	181	5	1	3,763
annotations	zu.xml	410	30	12	7,489
bcp47	calendar.xml	0	0	0	73
bcp47	collation.xml	0	0	0	158
bcp47	currency.xml	0	0	0	615
bcp47	measure.xml	0	0	0	10
bcp47	number.xml	0	0	0	180
bcp47	segmentation.xml	0	0	0	22
bcp47	timezone.xml	1	0	0	1,402
bcp47	transform-destination.xml	0	0	0	67
bcp47	transform.xml	0	0	0	48
bcp47	transform_hybrid.xml	0	0	0	5
bcp47	transform_ime.xml	0	0	0	10
bcp47	transform_keyboard.xml	0	0	0	60
bcp47	transform_mt.xml	0	0	0	4
bcp47	transform_private_use.xml	0	0	0	5
bcp47	variant.xml	0	0	0	20
collation	af.xml	0	0	0	1
collation	am.xml	0	0	0	1
collation	ar.xml	0	0	0	792
collation	as.xml	0	0	0	18
collation	az.xml	0	0	0	15
collation	be.xml	0	0	0	4
collation	bg.xml	0	0	0	2
collation	bn.xml	0	0	0	618
collation	bo.xml	0	0	0	1
collation	bs.xml	0	0	0	2
collation	bs_Cyrl.xml	0	0	0	1
collation	ca.xml	0	0	0	7
collation	ceb.xml	0	0	0	1
collation	chr.xml	0	0	0	1
collation	cs.xml	0	0	0	11
collation	cu.xml	0	0	0	20
collation	cy.xml	0	0	0	8
collation	da.xml	0	0	0	11
collation	de.xml	0	0	0	25
collation	de_AT.xml	0	0	0	4
collation	dsb.xml	0	0	0	8
collation	dz.xml	0	0	0	74
collation	ee.xml	0	0	0	11
collation	el.xml	0	0	0	2
collation	en_US_POSIX.xml	0	0	0	2
collation	eo.xml	0	0	0	6
collation	es.xml	0	0	0	11
collation	et.xml	0	0	0	2
collation	fa.xml	0	0	0	10
collation	fa_AF.xml	0	0	0	1
collation	ff_Adlm.xml	0	0	0	173
collation	fi.xml	0	0	0	22
collation	fil.xml	0	0	0	1
collation	fo.xml	0	0	0	13
collation	fr_CA.xml	0	0	0	1
collation	gl.xml	0	0	0	2
collation	gu.xml	0	0	0	26
collation	ha.xml	0	0	0	6
collation	haw.xml	0	0	0	2
collation	he.xml	0	0	0	9
collation	hi.xml	0	0	0	12
collation	hr.xml	0	0	0	10
collation	hsb.xml	0	0	0	7
collation	hu.xml	0	0	0	77
collation	hy.xml	0	0	0	2
collation	ig.xml	0	0	0	9
collation	is.xml	0	0	0	10
collation	ja.xml	0	0	0	423
collation	ka.xml	0	0	0	1
collation	kk.xml	0	0	0	5
collation	kl.xml	0	0	0	8
collation	km.xml	0	0	0	60
collation	kn.xml	0	0	0	640
collation	ko.xml	0	0	0	866
collation	kok.xml	0	0	0	22
collation	ku.xml	0	0	0	19
collation	ky.xml	0	0	0	3
collation	lkt.xml	0	0	0	5
collation	ln.xml	0	0	0	12
collation	lo.xml	0	0	0	1
collation	lt.xml	0	0	0	10
collation	lv.xml	0	0	0	9
collation	mk.xml	0	0	0	4
collation	ml.xml	0	0	0	28
collation	mn.xml	0	0	0	1
collation	mr.xml	0	0	0	26
collation	mt.xml	0	0	0	13
collation	my.xml	0	0	0	377
collation	nb.xml	0	0	0	7
collation	ne.xml	0	0	0	1
collation	nn.xml	0	0	0	2
collation	om.xml	0	0	0	1
collation	or.xml	0	0	0	14
collation	pa.xml	0	0	0	4
collation	pl.xml	0	0	0	8
collation	ps.xml	0	0	0	18
collation	ro.xml	0	0	0	4
collation	root.xml	0	0	0	1,302
collation	ru.xml	0	0	0	2
collation	se.xml	0	0	0	42
collation	si.xml	0	0	0	8
collation	sk.xml	0	0	0	24
collation	sl.xml	0	0	0	7
collation	smn.xml	0	0	0	8
collation	sq.xml	0	0	0	22
collation	sr.xml	0	0	0	2
collation	sr_Latn.xml	0	0	0	2
collation	sv.xml	0	0	0	14
collation	ta.xml	0	0	0	28
collation	te.xml	0	0	0	10
collation	th.xml	0	0	0	22
collation	tk.xml	0	0	0	8
collation	to.xml	0	0	0	7
collation	tr.xml	0	0	0	9
collation	ug.xml	0	0	0	4
collation	uk.xml	0	0	0	4
collation	ur.xml	0	0	0	6
collation	uz.xml	0	0	0	16
collation	vi.xml	0	0	0	21
collation	vo.xml	0	0	0	3
collation	wae.xml	0	0	0	10
collation	wo.xml	0	0	0	5
collation	yi.xml	0	0	0	17
collation	yo.xml	0	0	0	5
collation	zh.xml	0	0	0	9,963
collation	zh_Hant.xml	0	0	0	1
main	af.xml	64	0	44	4,774
main	af_NA.xml	0	0	0	11
