# Grammatical Features
#Locale	ID	Feature	Usage	Values
Dutch	nl	grammaticalGender	general	common, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dag	<div class='cldr_example'><span class='cldr_substituted'>1</span> dag</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dag</div>
Plural	other	{0} dagen	<div class='cldr_example'><span class='cldr_substituted'>2</span> dagen</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dagen</div>
Gender (for measurement units)	common	De {0} is	<div class='cldr_example'>De <span class='cldr_substituted'>centimeter</span> is</div><div class='cldr_example'>❌  De <span class='cldr_substituted'>decennium</span> is</div>
Gender (for measurement units)	neuter	Het {0} is	<div class='cldr_example'>Het <span class='cldr_substituted'>decennium</span> is</div><div class='cldr_example'>❌  Het <span class='cldr_substituted'>centimeter</span> is</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit
acceleration	meters per second squared	common	De meter per seconde kwadraat is
acceleration	g-force • ( = 9.80665 m/s²)	common	De G-kracht is
angle	arc-second • ( = 0.0000007˙716049382 rev)	common	De boogseconde is
angle	arc-minute • ( = 0.00004˙629 rev)	common	De boogminuut is
angle	degree • ( = 0.002˙7 rev)	common	De booggraad is
angle	radian • ( = ~0.1591549430918953 rev)	common	De radiaal is
angle	revolutions	common	De toer is
area	square centimeters	common	De vierkante centimeter is
area	square-foot • ( = 929.0304 cm²)	common	De vierkante voet is
area	square meters	common	De vierkante meter is
area	acre • ( = 4,046.8564224 m²)	common	De acre is
area	hectares	common	De hectare is
area	square kilometers	common	De vierkante kilometer is
area	square-mile • ( = 2.589988110336 km²)	common	De vierkante mijl is
concentration	millimole-per-liter • ( = 602,214,076,000,000,000,000,000 items per cubic meter)	common	De millimol per liter is
consumption	liters per 100 kilometers	common	De liter per 100 kilometer is
consumption	liters per kilometer	common	De liter per kilometer is
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	common	De mijl per imp. gallon is
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	common	De mijl per gallon is
digital	bits	common	De bit is
digital	byte • ( = 8 bit)	common	De byte is
digital	kilobits	common	De kilobit is
digital	kilobyte • ( = 8 kb)	common	De kilobyte is
digital	megabits	common	De megabit is
digital	megabyte • ( = 8 Mb)	common	De megabyte is
digital	gigabits	common	De gigabit is
digital	gigabyte • ( = 8 Gb)	common	De gigabyte is
digital	terabits	common	De terabit is
digital	terabyte • ( = 8 Tb)	common	De terabyte is
digital	petabyte • ( = 8,000 Tb)	common	De petabyte is
