#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	modern	READ_WRITE	kgp			Locale Display Names	Languages (K-N)	K	Kaingang ► kgp	http://st.unicode.org/cldr-apps/v#/af//625d57004ca088d7	
af	Afrikaans	Latin	modern	modern	READ_WRITE	yrl			Locale Display Names	Languages (K-N)	N	Nheengatu ► yrl	http://st.unicode.org/cldr-apps/v#/af//df32d85bf0c2b46	
af	Afrikaans	Latin	modern	modern	READ_WRITE	verlede So.			Date & Time	Fields	Relative Sunday Narrow	-1	http://st.unicode.org/cldr-apps/v#/af//4e1cdb259b8a680b	
af	Afrikaans	Latin	modern	modern	READ_WRITE	hierdie So.			Date & Time	Fields	Relative Sunday Narrow	0	http://st.unicode.org/cldr-apps/v#/af//458fbc00f4959a61	
af	Afrikaans	Latin	modern	modern	READ_WRITE	volgende So.			Date & Time	Fields	Relative Sunday Narrow	1	http://st.unicode.org/cldr-apps/v#/af//e3c6a947ed26bec	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} So. gelede			Date & Time	Fields	Relative Sunday Narrow	past-one	http://st.unicode.org/cldr-apps/v#/af//2062a929ae3480ab	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} So. gelede			Date & Time	Fields	Relative Sunday Narrow	past-other	http://st.unicode.org/cldr-apps/v#/af//6b5dff3648b8f062	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} Ma. gelede			Date & Time	Fields	Relative Monday Narrow	past-one	http://st.unicode.org/cldr-apps/v#/af//7946834752b49a14	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} Ma. gelede			Date & Time	Fields	Relative Monday Narrow	past-other	http://st.unicode.org/cldr-apps/v#/af//50e3b239953b915e	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} Di. gelede			Date & Time	Fields	Relative Tuesday Narrow	past-one	http://st.unicode.org/cldr-apps/v#/af//6036945f5a7a9a2d	
af	Afrikaans	Latin	modern	modern	READ_WRITE	{0} Di. gelede			Date & Time	Fields	Relative Tuesday Narrow	past-other	http://st.unicode.org/cldr-apps/v#/af//5e43f52aa0551bd0	
