# Section	Page	Header	Code	Locale	Old	New	Level
#Section	Page	Header	Code	Locale	Old	New	Level
Core Data	Alphabetic Information	Characters in Use	Main Letters	pa	…[{\u0A70\u0A02}]…	…[\u0A02\u0A70]…	core
#Section	Page	Header	Code	Locale	Old	New	Level
Numbers	Symbols	Symbols 	decimal	rw	,	.	basic
Numbers	Symbols	Symbols 	group	rw	.	,	basic
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	long-atTime	yue	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	medium-atTime	yue	{1}{0}	{1} {0}	moderate
#Section	Page	Header	Code	Locale	Old	New	Level
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	full-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	long-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Gregorian	Formats - Standard - Date & Time Combination Formats	medium-atTime	zh_Hant	{1}{0}	{1} {0}	moderate
Date & Time	Generic	Formats - Standard - Date & Time Combination Formats	full	zh_Hant	{1}{0}	{1} {0}	moderate
