# Grammatical Features
#Locale	ID	Feature	Usage	Values
Urdu	ur	grammaticalCase	general	nominative, oblique
Urdu	ur	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
pressure	millibars	masculine	‫استعمال کے ملی بار دن‬
pressure	millimeter-ofhg • ( = 133.322387415 kilogram-meters per square meter-square second)	masculine	‫استعمال کے ملی میٹر مرکری دن‬
pressure	kilopascals	masculine	‫استعمال کے کلو پاسکل دن‬
pressure	bars	feminine	‫بار دنوں کی وارنٹی‬
pressure	atmosphere • ( = 1.01325 bar)	masculine	‫استعمال کے ماحول دن‬
pressure	megapascals	masculine	‫استعمال کے میگا پاسکل دن‬
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	‫استعمال کے پکسل فی سینٹی میٹر دن‬
speed	beaufort • ( = 0 m/s)	n/a	n/a
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	‫استعمال کے کلومیٹر فی گھنٹہ دن‬
speed	meters per second	masculine	‫استعمال کے میٹر فی سیکنڈ دن‬
speed	light-speed • ( = 299792458 m/s)	feminine	‫روشنی دنوں کی وارنٹی‬
substance-amount	items	masculine	‫استعمال کے آئٹم دن‬
substance-amount	mole • ( = 602214076000000000000000 items)	feminine	‫مول دنوں کی وارنٹی‬
temperature	degrees temperature	masculine	‫استعمال کے ° دن‬
temperature	celsius • ( = 1 K)	feminine	‫ڈگری سیلسیس دنوں کی وارنٹی‬
temperature	kelvins	masculine	‫استعمال کے کیلون دن‬
typewidth	typographic ems	masculine	‫استعمال کے em دن‬
voltage	volts	masculine	‫استعمال کے وولٹ دن‬
volume	cubic-centimeter • ( = 1 mL)	masculine	‫استعمال کے کیوبک سینٹی میٹر دن‬
volume	milliliters	masculine	‫استعمال کے ملی لیٹر دن‬
volume	centiliters	masculine	‫استعمال کے سینٹی لیٹر دن‬
volume	deciliter • ( = 10 cL)	masculine	‫استعمال کے ڈیسی لیٹر دن‬
volume	cup-metric • ( = 25 cL)	masculine	‫استعمال کے میٹرک کپ دن‬
volume	pint-metric • ( = 50 cL)	masculine	‫استعمال کے میٹرک پائنٹ دن‬
volume	liters	masculine	‫استعمال کے لیٹر دن‬
volume	hectoliters	masculine	‫استعمال کے ہیکٹو لیٹر دن‬
volume	cubic meters	masculine	‫استعمال کے کیوبک میٹر دن‬
volume	megaliters	masculine	‫استعمال کے میگا لیٹر دن‬
volume	cubic kilometers	masculine	‫استعمال کے کیوبک کلو میٹر دن‬
year-duration	month • ( = 0.08˙3 yrs)	masculine	‫استعمال کے مہینہ دن‬
year-duration	quarter • ( = 0.25 yrs)	masculine	‫استعمال کے کوارٹر دن‬
year-duration	years	masculine	‫استعمال کے سال دن‬
year-duration	decades	feminine	‫دہائی دنوں کی وارنٹی‬
year-duration	centuries	feminine	‫صدی دنوں کی وارنٹی‬

# Unit Power Components
#Unit	Case	Gender	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
power2	nominative	masculine • (second)	‫مربع {0}‬	‫دن باقی ہے۔ 1 مربع سیکنڈ‬	‫مربع {0}‬	‫دن باقی ہے۔ 2 مربع سیکنڈ‬
power2	nominative	feminine • (radian)	‫مربع {0}‬	‫دن باقی ہے۔ 1 مربع ریڈین‬	‫مربع {0}‬	‫دن باقی ہے۔ 2 مربع ریڈینس‬
power3	nominative	masculine • (second)	‫کیوبک {0}‬	‫دن باقی ہے۔ 1 کیوبک سیکنڈ‬	‫کیوبک {0}‬	‫دن باقی ہے۔ 2 کیوبک سیکنڈ‬
power3	nominative	feminine • (radian)	‫کیوبک {0}‬	‫دن باقی ہے۔ 1 کیوبک ریڈین‬	‫کیوبک {0}‬	‫دن باقی ہے۔ 2 کیوبک ریڈینس‬
