#LCode	English Name	Script	Locale Level	Path Level	STStatus	Bailey	Vxml	VStatus	Section	Page	Header	Code	ST Link	Config Action
af	Afrikaans	Latin	modern	modern	?	{0} dpi			Units	Graphics	dot-per-inch	narrow-one-nominative	http://st.unicode.org/cldr-apps/v#/af//5a1a1e59920ca35f	
af	Afrikaans	Latin	modern	modern	?	{0} dpi			Units	Graphics	dot-per-inch	narrow-other-nominative	http://st.unicode.org/cldr-apps/v#/af//4370ac1d411fa612	
af	Afrikaans	Latin	modern	modern	?	{0} cd			Units	Other Units	candela	narrow-one-nominative	http://st.unicode.org/cldr-apps/v#/af//5ff3a3091df55a0f	
af	Afrikaans	Latin	modern	modern	?	{0} cd			Units	Other Units	candela	narrow-other-nominative	http://st.unicode.org/cldr-apps/v#/af//6cbb0703b2a9aec4	
ar	Arabic	Arabic	modern	modern	?	الترول			Characters	People & Body	person-fantasy	🧌 –keywords	http://st.unicode.org/cldr-apps/v#/ar//554acc4b4565ed2	
ar	Arabic	Arabic	modern	modern	?	الترول			Characters	People & Body	person-fantasy	🧌 -name	http://st.unicode.org/cldr-apps/v#/ar//1676b53be72d7ab2	
ar	Arabic	Arabic	modern	modern	?	الكرة المضيئة			Characters	Activities	game	🪩 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6759b32d7657d712	
ar	Arabic	Arabic	modern	modern	?	الكرة المضيئة			Characters	Activities	game	🪩 -name	http://st.unicode.org/cldr-apps/v#/ar//5289447d4f8bcad9	
ar	Arabic	Arabic	modern	modern	?	شخص يرتدي تاجاً			Characters	People & Body	person-role	🫅 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6f46b55304fd2e8a	
ar	Arabic	Arabic	modern	modern	?	شخص يرتدي تاجاً			Characters	People & Body	person-role	🫅 -name	http://st.unicode.org/cldr-apps/v#/ar//75dfdef1116daea7	
ar	Arabic	Arabic	modern	modern	?	برطمان			Characters	Food & Drink	dishware	🫙 –keywords	http://st.unicode.org/cldr-apps/v#/ar//2ba60c36feb93246	
ar	Arabic	Arabic	modern	modern	?	أيدي متشابكة على شكل قلب			Characters	People & Body	hands	🫶 –keywords	http://st.unicode.org/cldr-apps/v#/ar//6d78531e11fcca8c	
ar	Arabic	Arabic	modern	modern	?	أيدي متشابكة على شكل قلب			Characters	People & Body	hands	🫶 -name	http://st.unicode.org/cldr-apps/v#/ar//5a0e411e3d15ae50	
as	Assamese	Bangla	modern	modern	?				Supplemental	Unknown	grammaticalData	grammaticalFeatures	http://st.unicode.org/cldr-apps/v#/as//196085599615fee1	
