# Grammatical Features
#Locale	ID	Feature	Usage	Values
Ukrainian	uk	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Ukrainian	uk	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} день	<div class='cldr_example'><span class='cldr_substituted'>1</span> день</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> день</div>
Plural	few	{0} дні	<div class='cldr_example'><span class='cldr_substituted'>2</span> дні</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> дні</div>
Plural	many	{0} днів	<div class='cldr_example'><span class='cldr_substituted'>5</span> днів</div><div class='cldr_example'>❌  <span class='cldr_substituted'>10,0</span> днів</div>
Plural	other	{0} дня	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> дня</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> дня</div>
Case (for measurement units)	nominative	Є {0}	<div class='cldr_example'>Є <span class='cldr_substituted'>1 сантиметр</span></div><div class='cldr_example'>❌  Є <span class='cldr_substituted'>1 сантиметру</span></div>
Case (for measurement units)	accusative	Знайшли {0}	<div class='cldr_example'>Знайшли <span class='cldr_substituted'>1 сантиметр</span></div><div class='cldr_example'>❌  Знайшли <span class='cldr_substituted'>1 сантиметру</span></div>
Case (for measurement units)	genitive	Немає {0}	<div class='cldr_example'>Немає <span class='cldr_substituted'>1 сантиметра</span></div><div class='cldr_example'>❌  Немає <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	locative	Міститься в {0}	<div class='cldr_example'>Міститься в <span class='cldr_substituted'>1 сантиметрі</span></div><div class='cldr_example'>❌  Міститься в <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	dative	Це відповідає {0}	<div class='cldr_example'>Це відповідає <span class='cldr_substituted'>1 сантиметру</span></div><div class='cldr_example'>❌  Це відповідає <span class='cldr_substituted'>1 сантиметр</span></div>
Case (for measurement units)	instrumental	Вимірюється не {0}	<div class='cldr_example'>Вимірюється не <span class='cldr_substituted'>1 сантиметром</span></div><div class='cldr_example'>❌  Вимірюється не <span class='cldr_substituted'>1 сантиметр</span></div>
Gender (for measurement units)	masculine	Цей {0}	<div class='cldr_example'>Цей <span class='cldr_substituted'>сантиметр</span></div><div class='cldr_example'>❌  Цей <span class='cldr_substituted'>година</span></div>
Gender (for measurement units)	feminine	Ця {0}	<div class='cldr_example'>Ця <span class='cldr_substituted'>година</span></div><div class='cldr_example'>❌  Ця <span class='cldr_substituted'>сантиметр</span></div>
Gender (for measurement units)	neuter	Це {0}	<div class='cldr_example'>Це <span class='cldr_substituted'>століття</span></div><div class='cldr_example'>❌  Це <span class='cldr_substituted'>година</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 5.0	Pattern for other	Case MP + pattern with 0.1
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	nominative	{0} метр на секунду у квадраті	Є 21 метр на секунду у квадраті	{0} метри на секунду у квадраті	Є 3 метри на секунду у квадраті	{0} метрів на секунду у квадраті	Є 5 метрів на секунду у квадраті	{0} метра на секунду у квадраті	Є 0,1 метра на секунду у квадраті
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	accusative	{0} метр на секунду у квадраті	Знайшли 21 метр на секунду у квадраті	{0} метри на секунду у квадраті	Знайшли 3 метри на секунду у квадраті	{0} метрів на секунду у квадраті	Знайшли 5 метрів на секунду у квадраті	{0} метра на секунду у квадраті	Знайшли 0,1 метра на секунду у квадраті
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	genitive	{0} метра на секунду у квадраті	Немає 21 метра на секунду у квадраті	{0} метрів на секунду у квадраті	Немає 3 метрів на секунду у квадраті	{0} метрів на секунду у квадраті	Немає 5 метрів на секунду у квадраті	{0} метра на секунду у квадраті	Немає 0,1 метра на секунду у квадраті
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	locative	{0} метрі на секунду у квадраті	Міститься в 21 метрі на секунду у квадраті	{0} метрах на секунду у квадраті	Міститься в 3 метрах на секунду у квадраті	{0} метрах на секунду у квадраті	Міститься в 5 метрах на секунду у квадраті	{0} метра на секунду у квадраті	Міститься в 0,1 метра на секунду у квадраті
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	dative	{0} метру на секунду у квадраті	Це відповідає 21 метру на секунду у квадраті	{0} метру на секунду у квадраті	Це відповідає 3 метру на секунду у квадраті	{0} метрам на секунду у квадраті	Це відповідає 5 метрам на секунду у квадраті	{0} метра на секунду у квадраті	Це відповідає 0,1 метра на секунду у квадраті
acceleration	meters per second squared	masculine	Цей метр на секунду у квадраті	instrumental	{0} метром на секунду у квадраті	Вимірюється не 21 метром на секунду у квадраті	{0} метром на секунду у квадраті	Вимірюється не 3 метром на секунду у квадраті	{0} метрами на секунду у квадраті	Вимірюється не 5 метрами на секунду у квадраті	{0} метра на секунду у квадраті	Вимірюється не 0,1 метра на секунду у квадраті
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	nominative	{0} g	Є 21 g	{0} g	Є 3 g	{0} g	Є 5 g	{0} g	Є 0,1 g
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	accusative	{0} g	Знайшли 21 g	{0} g	Знайшли 3 g	{0} g	Знайшли 5 g	{0} g	Знайшли 0,1 g
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	genitive	{0} g	Немає 21 g	{0} g	Немає 3 g	{0} g	Немає 5 g	{0} g	Немає 0,1 g
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	locative	{0} g	Міститься в 21 g	{0} g	Міститься в 3 g	{0} g	Міститься в 5 g	{0} g	Міститься в 0,1 g
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	dative	{0} g	Це відповідає 21 g	{0} g	Це відповідає 3 g	{0} g	Це відповідає 5 g	{0} g	Це відповідає 0,1 g
acceleration	g-force • ( = 9.80665 m/s²)	neuter	Це g	instrumental	{0} g	Вимірюється не 21 g	{0} g	Вимірюється не 3 g	{0} g	Вимірюється не 5 g	{0} g	Вимірюється не 0,1 g
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	nominative	{0} кутова секунда	Є 21 кутова секунда	{0} кутові секунди	Є 3 кутові секунди	{0} кутових секунд	Є 5 кутових секунд	{0} кутової секунди	Є 0,1 кутової секунди
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	accusative	{0} кутову секунду	Знайшли 21 кутову секунду	{0} кутові секунди	Знайшли 3 кутові секунди	{0} кутових секунд	Знайшли 5 кутових секунд	{0} кутової секунди	Знайшли 0,1 кутової секунди
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	genitive	{0} кутової секунди	Немає 21 кутової секунди	{0} кутових секунд	Немає 3 кутових секунд	{0} кутових секунд	Немає 5 кутових секунд	{0} кутової секунди	Немає 0,1 кутової секунди
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	locative	{0} кутовій секунді	Міститься в 21 кутовій секунді	{0} кутових секундах	Міститься в 3 кутових секундах	{0} кутових секундах	Міститься в 5 кутових секундах	{0} кутової секунди	Міститься в 0,1 кутової секунди
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	dative	{0} кутовій секунді	Це відповідає 21 кутовій секунді	{0} кутовим секундам	Це відповідає 3 кутовим секундам	{0} кутовим секундам	Це відповідає 5 кутовим секундам	{0} кутової секунди	Це відповідає 0,1 кутової секунди
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ця кутова секунда	instrumental	{0} кутовою секундою	Вимірюється не 21 кутовою секундою	{0} кутовими секундами	Вимірюється не 3 кутовими секундами	{0} кутовими секундами	Вимірюється не 5 кутовими секундами	{0} кутової секунди	Вимірюється не 0,1 кутової секунди
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	nominative	{0} кутова мінута	Є 21 кутова мінута	{0} кутові мінути	Є 3 кутові мінути	{0} кутових мінут	Є 5 кутових мінут	{0} кутової мінути	Є 0,1 кутової мінути
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	accusative	{0} кутову мінуту	Знайшли 21 кутову мінуту	{0} кутові мінути	Знайшли 3 кутові мінути	{0} кутових мінут	Знайшли 5 кутових мінут	{0} кутової мінути	Знайшли 0,1 кутової мінути
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	genitive	{0} кутової мінути	Немає 21 кутової мінути	{0} кутових мінут	Немає 3 кутових мінут	{0} кутових мінут	Немає 5 кутових мінут	{0} кутової мінути	Немає 0,1 кутової мінути
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	locative	{0} кутовій мінуті	Міститься в 21 кутовій мінуті	{0} кутових мінутах	Міститься в 3 кутових мінутах	{0} кутових мінутах	Міститься в 5 кутових мінутах	{0} кутової мінути	Міститься в 0,1 кутової мінути
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	dative	{0} кутовій мінуті	Це відповідає 21 кутовій мінуті	{0} кутовим мінутам	Це відповідає 3 кутовим мінутам	{0} кутовим мінутам	Це відповідає 5 кутовим мінутам	{0} кутової мінути	Це відповідає 0,1 кутової мінути
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	Ця кутова мінута	instrumental	{0} кутовою мінутою	Вимірюється не 21 кутовою мінутою	{0} кутовими мінутами	Вимірюється не 3 кутовими мінутами	{0} кутовими мінутами	Вимірюється не 5 кутовими мінутами	{0} кутової мінути	Вимірюється не 0,1 кутової мінути
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	nominative	{0} градус	Є 21 градус	{0} градуси	Є 3 градуси	{0} градусів	Є 5 градусів	{0} градуса	Є 0,1 градуса
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	accusative	{0} градус	Знайшли 21 градус	{0} градуси	Знайшли 3 градуси	{0} градусів	Знайшли 5 градусів	{0} градуса	Знайшли 0,1 градуса
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	genitive	{0} градуса	Немає 21 градуса	{0} градусів	Немає 3 градусів	{0} градусів	Немає 5 градусів	{0} градуса	Немає 0,1 градуса
angle	degree • ( = 0.002˙7 rev)	masculine	Цей градус	locative	{0} градусі	Міститься в 21 градусі	{0} градусах	Міститься в 3 градусах	{0} градусах	Міститься в 5 градусах	{0} градуса	Міститься в 0,1 градуса
