# Grammatical Features
#Locale	ID	Feature	Usage	Values
Hebrew	he	grammaticalDefiniteness	general	indefinite, definite, construct
Hebrew	he	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	‫יום‬	‫<div class='cldr_example'>יום</div><div class='cldr_example'>❌  יום</div>‬
Plural	two	‫יומיים‬	‫<div class='cldr_example'>יומיים</div><div class='cldr_example'>❌  יומיים</div>‬
Plural	many	‫{0} יום‬	‫<div class='cldr_example'><span class='cldr_substituted'>null</span> יום</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> יום</div>‬
Plural	other	‫{0} ימים‬	‫<div class='cldr_example'><span class='cldr_substituted'>3</span> ימים</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ימים</div>‬
Gender (for measurement units)	masculine	‫ה{0} הראשון הוא הקובע‬	‫<div class='cldr_example'>ה<span class='cldr_substituted'>יום</span> הראשון הוא הקובע</div><div class='cldr_example'>❌  ה<span class='cldr_substituted'>שעה</span> הראשון הוא הקובע</div>‬
Gender (for measurement units)	feminine	‫ה{0} הראשונה היא הקובעת‬	‫<div class='cldr_example'>ה<span class='cldr_substituted'>שעה</span> הראשונה היא הקובעת</div><div class='cldr_example'>❌  ה<span class='cldr_substituted'>יום</span> הראשונה היא הקובעת</div>‬

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit
acceleration	meters per second squared	masculine	‫המטר לשנייה בריבוע הראשון הוא הקובע‬
acceleration	g-force • ( = 9.80665 m/s²)	masculine	‫הכוח ג׳י אחד הראשון הוא הקובע‬
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	‫השניית קשת הראשונה היא הקובעת‬
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	‫הדקת קשת הראשונה היא הקובעת‬
angle	degree • ( = 0.002˙7 rev)	feminine	‫המעלה אחת הראשונה היא הקובעת‬
angle	radian • ( = ~0.1591549430918953 rev)	masculine	‫הרדיאן אחד הראשון הוא הקובע‬
angle	revolutions	masculine	‫הסיבוב הראשון הוא הקובע‬
area	square centimeters	masculine	‫הסנטימטר רבוע הראשון הוא הקובע‬
area	square meters	masculine	‫המטר רבוע הראשון הוא הקובע‬
area	hectares	masculine	‫ההקטאר הראשון הוא הקובע‬
area	square kilometers	masculine	‫הקילומטר רבוע הראשון הוא הקובע‬
concentration	milligram-ofglucose-per-deciliter • ( = ~3.342742283480345E22 kilogram-items per kilogram-cubic meter)	masculine	‫המיליגרם/דציליטר הראשון הוא הקובע‬
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	‫המילימול/ליטר הראשון הוא הקובע‬
consumption	liters per 100 kilometers	masculine	‫הליטר/100 ק״מ הראשון הוא הקובע‬
consumption	liters per kilometer	masculine	‫הליטר/קילומטר הראשון הוא הקובע‬
digital	bits	masculine	‫הביט הראשון הוא הקובע‬
digital	byte • ( = 8 bit)	masculine	‫הבייט הראשון הוא הקובע‬
digital	kilobits	masculine	‫הקילוביט הראשון הוא הקובע‬
digital	kilobyte • ( = 8 kb)	masculine	‫הקילו-בייט הראשון הוא הקובע‬
digital	megabits	masculine	‫המגה-ביט הראשון הוא הקובע‬
digital	megabyte • ( = 8 Mb)	masculine	‫המגה-בייט הראשון הוא הקובע‬
digital	gigabits	masculine	‫הג׳יגה-ביט הראשון הוא הקובע‬
digital	gigabyte • ( = 8 Gb)	masculine	‫הג׳יגה-בייט הראשון הוא הקובע‬
digital	terabits	masculine	‫הטרה-ביט הראשון הוא הקובע‬
digital	terabyte • ( = 8 Tb)	masculine	‫הטרה-בייט הראשון הוא הקובע‬
digital	petabyte • ( = 8000 Tb)	masculine	‫הפטה-בייט הראשון הוא הקובע‬
duration	nanoseconds	feminine	‫הננו שנייה הראשונה היא הקובעת‬
duration	microseconds	feminine	‫המיליונית שנייה הראשונה היא הקובעת‬
duration	milliseconds	feminine	‫האלפית שנייה הראשונה היא הקובעת‬
duration	seconds	feminine	‫השניה הראשונה היא הקובעת‬
duration	minute • ( = 60 sec)	feminine	‫הדקה הראשונה היא הקובעת‬
duration	hour • ( = 3600 sec)	feminine	‫השעה הראשונה היא הקובעת‬
duration	day • ( = 86400 sec)	masculine	‫היום הראשון הוא הקובע‬
duration	day-person • ( = 86400 sec)	masculine	‫היום הראשון הוא הקובע‬
duration	week • ( = 604800 sec)	masculine	‫השבוע הראשון הוא הקובע‬
electric-current	milliamperes	masculine	‫המיליאמפר הראשון הוא הקובע‬
electric-current	amperes	masculine	‫האמפר הראשון הוא הקובע‬
electric-resistance	ohms	masculine	‫האוהם הראשון הוא הקובע‬
energy	joules	masculine	‫הג׳אול הראשון הוא הקובע‬
energy	newton-meter • ( = 1 J)	masculine	‫הניוטון-מטר הראשון הוא הקובע‬
energy	calorie • ( = 4.184 J)	feminine	‫הקלוריה הראשונה היא הקובעת‬
energy	kilojoules	masculine	‫הקילו ג׳אול הראשון הוא הקובע‬
energy	kilocalorie • ( = 4.184 kJ)	feminine	‫הקילו קלוריה הראשונה היא הקובעת‬
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	masculine	‫הקילוואט־שעה הראשון הוא הקובע‬
force	newtons	masculine	‫הניוטון הראשון הוא הקובע‬
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	‫הקילוואט/שעה ל-100 קילומטר הראשון הוא הקובע‬
frequency	hertz	masculine	‫ההרץ הראשון הוא הקובע‬
frequency	kilohertz	masculine	‫הקילו-הרץ הראשון הוא הקובע‬
frequency	megahertz	masculine	‫המגה-הרץ הראשון הוא הקובע‬
frequency	gigahertz	masculine	‫הג׳יגה-הרץ הראשון הוא הקובע‬
graphics	pixel • ( = 1 dot)	masculine	‫הpx ‏ הראשון הוא הקובע‬
graphics	megapixels	masculine	‫הMP ‏ הראשון הוא הקובע‬
illuminance	lux	masculine	‫הלוקס הראשון הוא הקובע‬
length	picometers	masculine	‫הפיקומטר הראשון הוא הקובע‬
length	nanometers	masculine	‫הננומטר הראשון הוא הקובע‬
length	micrometers	masculine	‫המיקרומטר הראשון הוא הקובע‬
length	point • ( = 352.˙7 μm)	feminine	‫הנקודה אחת () הראשונה היא הקובעת‬
length	millimeters	masculine	‫המילימטר הראשון הוא הקובע‬
length	centimeters	masculine	‫הסנטימטר הראשון הוא הקובע‬
length	decimeters	masculine	‫הדצימטר הראשון הוא הקובע‬
length	meters	masculine	‫המטר הראשון הוא הקובע‬
length	kilometers	masculine	‫הקילומטר הראשון הוא הקובע‬
length	mile-scandinavian • ( = 10 km)	masculine	‫המייל-סקנדינביה הראשון הוא הקובע‬
luminous-flux	lumen	masculine	‫הלומן הראשון הוא הקובע‬
luminous-intensity	candela	feminine	‫הקנדלה הראשונה היא הקובעת‬
mass	micrograms	masculine	‫המיקרוגרם הראשון הוא הקובע‬
mass	milligrams	masculine	‫המיליגרם הראשון הוא הקובע‬
mass	carat • ( = 200 mg)	masculine	‫הקרט הראשון הוא הקובע‬
mass	grams	masculine	‫הגרם הראשון הוא הקובע‬
mass	kilograms	masculine	‫הקילוגרם הראשון הוא הקובע‬
mass	metric tons	masculine	‫הטון מטרי הראשון הוא הקובע‬
night-duration	nights	masculine	‫הלילה הראשון הוא הקובע‬
portion	parts per billion	masculine	‫החלקים למיליארד הראשון הוא הקובע‬
portion	parts per million	masculine	‫החלקים למיליון הראשון הוא הקובע‬
portion	permyriad	feminine	‫הרבבית הראשונה היא הקובעת‬
portion	permille	masculine	‫הפרומיל הראשון הוא הקובע‬
portion	percent	masculine	‫האחוז הראשון הוא הקובע‬
portion	karat • ( = 4.1˙6%)	masculine	‫הקראט הראשון הוא הקובע‬
power	milliwatts	masculine	‫המיליוואט הראשון הוא הקובע‬
power	watts	masculine	‫הואט הראשון הוא הקובע‬
power	kilowatts	masculine	‫הקילוואט הראשון הוא הקובע‬
power	megawatts	masculine	‫המגה ואט הראשון הוא הקובע‬
power	gigawatts	masculine	‫הג׳יגה ואט הראשון הוא הקובע‬
pressure	pascals	masculine	‫הפסקל הראשון הוא הקובע‬
pressure	hectopascal • ( = 1 mbar)	masculine	‫ההקטופסקל הראשון הוא הקובע‬
pressure	millibars	masculine	‫המיליבר הראשון הוא הקובע‬
pressure	millimeter-ofhg • ( = 133.322387415 kilogram-meters per square meter-square second)	masculine	‫המילימטר כספית הראשון הוא הקובע‬
pressure	kilopascals	masculine	‫הקילו-פסקל הראשון הוא הקובע‬
pressure	bars	masculine	‫הבר הראשון הוא הקובע‬
pressure	atmosphere • ( = 1.01325 bar)	feminine	‫האטמוספרה הראשונה היא הקובעת‬
pressure	megapascals	masculine	‫המגה-פסקל הראשון הוא הקובע‬
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	‫הppcm ‏ הראשון הוא הקובע‬
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	‫הקילומטר לשעה הראשון הוא הקובע‬
speed	meters per second	masculine	‫המטר לשנייה הראשון הוא הקובע‬
speed	light-speed • ( = 299792458 m/s)	masculine	‫האור הראשון הוא הקובע‬
substance-amount	items	masculine	‫הפריט הראשון הוא הקובע‬
substance-amount	mole • ( = 602214076000000000000000 items)	masculine	‫המול הראשון הוא הקובע‬
temperature	degrees temperature	feminine	‫ה° הראשונה היא הקובעת‬
temperature	celsius • ( = 1 K)	feminine	‫המעלת צלזיוס הראשונה היא הקובעת‬
temperature	kelvins	feminine	‫הקלווין הראשונה היא הקובעת‬
typewidth	typographic ems	masculine	‫הem הראשון הוא הקובע‬
