# Grammatical Features
#Locale	ID	Feature	Usage	Values
Latvian	lv	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative
Latvian	lv	grammaticalCase	units	nominative, accusative, genitive, locative, dative
Latvian	lv	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	zero	{0} diennakšu	<div class='cldr_example'><span class='cldr_substituted'>10</span> diennakšu</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakšu</div>
Plural	one	{0} diennakts	<div class='cldr_example'><span class='cldr_substituted'>1</span> diennakts</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> diennakts</div>
Plural	other	{0} diennaktis	<div class='cldr_example'><span class='cldr_substituted'>2</span> diennaktis</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> diennaktis</div>
Case (for measurement units)	nominative	pagājusi {0}	<div class='cldr_example'>pagājusi <span class='cldr_substituted'>1 megapikselis</span></div><div class='cldr_example'>❌  pagājusi <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	accusative	palikt {0}	<div class='cldr_example'>palikt <span class='cldr_substituted'>1 megapikseli</span></div><div class='cldr_example'>❌  palikt <span class='cldr_substituted'>1 megapikselim</span></div>
Case (for measurement units)	genitive	{0} brauciens	<div class='cldr_example'><span class='cldr_substituted'>10 MP</span> brauciens</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 megapikseli</span> brauciens</div>
Case (for measurement units)	locative	izdarīts {0}	<div class='cldr_example'>izdarīts <span class='cldr_substituted'>1 megapikselī</span></div><div class='cldr_example'>❌  izdarīts <span class='cldr_substituted'>1 megapikseli</span></div>
Case (for measurement units)	dative	pietiks {0}	<div class='cldr_example'>pietiks <span class='cldr_substituted'>1 megapikselim</span></div><div class='cldr_example'>❌  pietiks <span class='cldr_substituted'>1 megapikseli</span></div>
Gender (for measurement units)	masculine	viens {0}	<div class='cldr_example'>viens <span class='cldr_substituted'>mēnesis</span></div><div class='cldr_example'>❌  viens <span class='cldr_substituted'>diena</span></div>
Gender (for measurement units)	feminine	gara {0}	<div class='cldr_example'>gara <span class='cldr_substituted'>diena</span></div><div class='cldr_example'>❌  gara <span class='cldr_substituted'>mēnesis</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for zero	Case MP + pattern with 10.0	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 3.0
acceleration	meters per second squared	masculine	viens metrs sekundē kvadrātā	nominative	{0} metru sekundē kvadrātā	pagājusi 10 metru sekundē kvadrātā	{0} metrs sekundē kvadrātā	pagājusi 21 metrs sekundē kvadrātā	{0} metri sekundē kvadrātā	pagājusi 3 metri sekundē kvadrātā
acceleration	meters per second squared	masculine	viens metrs sekundē kvadrātā	accusative	{0} metru sekundē kvadrātā	palikt 10 metru sekundē kvadrātā	{0} metru sekundē kvadrātā	palikt 21 metru sekundē kvadrātā	{0} metrus sekundē kvadrātā	palikt 3 metrus sekundē kvadrātā
acceleration	meters per second squared	masculine	viens metrs sekundē kvadrātā	genitive	{0} metru sekundē kvadrātā	10 metru sekundē kvadrātā brauciens	{0} metra sekundē kvadrātā	21 metra sekundē kvadrātā brauciens	{0} metru sekundē kvadrātā	3 metru sekundē kvadrātā brauciens
acceleration	meters per second squared	masculine	viens metrs sekundē kvadrātā	locative	{0} metru sekundē kvadrātā	izdarīts 10 metru sekundē kvadrātā	{0} metrā sekundē kvadrātā	izdarīts 21 metrā sekundē kvadrātā	{0} metros sekundē kvadrātā	izdarīts 3 metros sekundē kvadrātā
acceleration	meters per second squared	masculine	viens metrs sekundē kvadrātā	dative	{0} metru sekundē kvadrātā	pietiks 10 metru sekundē kvadrātā	{0} metram sekundē kvadrātā	pietiks 21 metram sekundē kvadrātā	{0} metriem sekundē kvadrātā	pietiks 3 metriem sekundē kvadrātā
acceleration	g-force • ( = 9.80665 m/s²)	masculine	viens smagumspēks	nominative	{0} smagumspēku	pagājusi 10 smagumspēku	{0} smagumspēks	pagājusi 21 smagumspēks	{0} smagumspēks	pagājusi 3 smagumspēks
acceleration	g-force • ( = 9.80665 m/s²)	masculine	viens smagumspēks	accusative	{0} smagumspēku	palikt 10 smagumspēku	{0} smagumspēku	palikt 21 smagumspēku	{0} smagumspēkus	palikt 3 smagumspēkus
acceleration	g-force • ( = 9.80665 m/s²)	masculine	viens smagumspēks	genitive	{0} smagumspēku	10 smagumspēku brauciens	{0} smagumspēka	21 smagumspēka brauciens	{0} smagumspēku	3 smagumspēku brauciens
acceleration	g-force • ( = 9.80665 m/s²)	masculine	viens smagumspēks	locative	{0} smagumspēku	izdarīts 10 smagumspēku	{0} smagumspēkā	izdarīts 21 smagumspēkā	{0} smagumspēkos	izdarīts 3 smagumspēkos
acceleration	g-force • ( = 9.80665 m/s²)	masculine	viens smagumspēks	dative	{0} smagumspēku	pietiks 10 smagumspēku	{0} smagumspēkam	pietiks 21 smagumspēkam	{0} smagumspēkiem	pietiks 3 smagumspēkiem
