# Grammatical Features
#Locale	ID	Feature	Usage	Values
Punjabi	pa	grammaticalCase	general	nominative, oblique
Punjabi	pa	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} ਘੰਟਾ	<div class='cldr_example'><span class='cldr_substituted'>1</span> ਘੰਟਾ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> ਘੰਟਾ</div>
Plural	other	{0} ਘੰਟੇ	<div class='cldr_example'><span class='cldr_substituted'>2</span> ਘੰਟੇ</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ਘੰਟੇ</div>
Case (for measurement units)	nominative	ਅਧਿਆਪਕ ਨੇ {0} ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਪੜ੍ਹਾਇਆ</div>
Case (for measurement units)	oblique	ਅਧਿਆਪਕ ਨੇ {0} ਤੱਕ ਪੜ੍ਹਾਇਆ	<div class='cldr_example'>ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>2 ਘੰਟਿਆਂ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div><div class='cldr_example'>❌  ਅਧਿਆਪਕ ਨੇ <span class='cldr_substituted'>1 ਘੰਟਾ</span> ਤੱਕ ਪੜ੍ਹਾਇਆ</div>
Gender (for measurement units)	masculine	ਇਹ ਕਿੰਨੇ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੇ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div>
Gender (for measurement units)	feminine	ਇਹ ਕਿੰਨੀ {0} ਦਾ ਹੈ	<div class='cldr_example'>ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਵਾਟ</span> ਦਾ ਹੈ</div><div class='cldr_example'>❌  ਇਹ ਕਿੰਨੀ <span class='cldr_substituted'>ਦਿਨ</span> ਦਾ ਹੈ</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 3.0
acceleration	meters per second squared	masculine	ਇਹ ਕਿੰਨੇ ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
acceleration	meters per second squared	masculine	ਇਹ ਕਿੰਨੇ ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਮੀਟਰ ਪ੍ਰਤੀ ਵਰਗ ਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
acceleration	g-force • ( = 9.80665 m/s²)	masculine	ਇਹ ਕਿੰਨੇ ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਦਾ ਹੈ	nominative	{0} ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ	ਅਧਿਆਪਕ ਨੇ 1 ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਪੜ੍ਹਾਇਆ	{0} ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ	ਅਧਿਆਪਕ ਨੇ 3 ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਪੜ੍ਹਾਇਆ
acceleration	g-force • ( = 9.80665 m/s²)	masculine	ਇਹ ਕਿੰਨੇ ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਦਾ ਹੈ	oblique	{0} ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ	ਅਧਿਆਪਕ ਨੇ 1 ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ	ਅਧਿਆਪਕ ਨੇ 3 ਗੁਰੂਤਾਕਰਸ਼ਣ ਬਲ ਤੱਕ ਪੜ੍ਹਾਇਆ
angle	arc-second • ( = 0.0000007˙716049382 rev)	masculine	ਇਹ ਕਿੰਨੇ ਚਾਪ-ਸਕਿੰਟ ਦਾ ਹੈ	nominative	{0} ਚਾਪ-ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਚਾਪ-ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਚਾਪ-ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਚਾਪ-ਸਕਿੰਟ ਪੜ੍ਹਾਇਆ
angle	arc-second • ( = 0.0000007˙716049382 rev)	masculine	ਇਹ ਕਿੰਨੇ ਚਾਪ-ਸਕਿੰਟ ਦਾ ਹੈ	oblique	{0} ਚਾਪ-ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਚਾਪ-ਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਚਾਪ-ਸਕਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਚਾਪ-ਸਕਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
angle	arc-minute • ( = 0.00004˙629 rev)	masculine	ਇਹ ਕਿੰਨੇ ਚਾਪ-ਮਿੰਟ ਦਾ ਹੈ	nominative	{0} ਚਾਪ-ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਚਾਪ-ਮਿੰਟ ਪੜ੍ਹਾਇਆ	{0} ਚਾਪ-ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਚਾਪ-ਮਿੰਟ ਪੜ੍ਹਾਇਆ
angle	arc-minute • ( = 0.00004˙629 rev)	masculine	ਇਹ ਕਿੰਨੇ ਚਾਪ-ਮਿੰਟ ਦਾ ਹੈ	oblique	{0} ਚਾਪ-ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 1 ਚਾਪ-ਮਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਚਾਪ-ਮਿੰਟ	ਅਧਿਆਪਕ ਨੇ 3 ਚਾਪ-ਮਿੰਟ ਤੱਕ ਪੜ੍ਹਾਇਆ
angle	degree • ( = 0.002˙7 rev)	feminine	ਇਹ ਕਿੰਨੀ ਡਿਗਰੀ ਦਾ ਹੈ	nominative	{0} ਡਿਗਰੀ	ਅਧਿਆਪਕ ਨੇ 1 ਡਿਗਰੀ ਪੜ੍ਹਾਇਆ	{0} ਡਿਗਰੀ	ਅਧਿਆਪਕ ਨੇ 3 ਡਿਗਰੀ ਪੜ੍ਹਾਇਆ
angle	degree • ( = 0.002˙7 rev)	feminine	ਇਹ ਕਿੰਨੀ ਡਿਗਰੀ ਦਾ ਹੈ	oblique	{0} ਡਿਗਰੀ	ਅਧਿਆਪਕ ਨੇ 1 ਡਿਗਰੀ ਤੱਕ ਪੜ੍ਹਾਇਆ	{0} ਡਿਗਰੀ	ਅਧਿਆਪਕ ਨੇ 3 ਡਿਗਰੀ ਤੱਕ ਪੜ੍ਹਾਇਆ
