# Grammatical Features
#Locale	ID	Feature	Usage	Values
Hebrew	he	grammaticalDefiniteness	general	indefinite, definite, construct
Hebrew	he	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	‫יום‬	‫<div class='cldr_example'>יום</div><div class='cldr_example'>❌  יום</div>‬
Plural	two	‫יומיים‬	‫<div class='cldr_example'>יומיים</div><div class='cldr_example'>❌  יומיים</div>‬
Plural	many	‫{0} יום‬	‫<div class='cldr_example'><span class='cldr_substituted'>null</span> יום</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> יום</div>‬
Plural	other	‫{0} ימים‬	‫<div class='cldr_example'><span class='cldr_substituted'>3</span> ימים</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> ימים</div>‬
Gender (for measurement units)	masculine	‫ה{0} הראשון הוא הקובע‬	‫<div class='cldr_example'>ה<span class='cldr_substituted'>יום</span> הראשון הוא הקובע</div><div class='cldr_example'>❌  ה<span class='cldr_substituted'>שעה</span> הראשון הוא הקובע</div>‬
Gender (for measurement units)	feminine	‫ה{0} הראשונה היא הקובעת‬	‫<div class='cldr_example'>ה<span class='cldr_substituted'>שעה</span> הראשונה היא הקובעת</div><div class='cldr_example'>❌  ה<span class='cldr_substituted'>יום</span> הראשונה היא הקובעת</div>‬

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit
acceleration	meters per second squared	masculine	‫המטר לשנייה בריבוע הראשון הוא הקובע‬
acceleration	g-force • ( = 9.80665 m/s²)	masculine	‫הכוח ג׳י אחד הראשון הוא הקובע‬
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	‫השניית קשת הראשונה היא הקובעת‬
angle	arc-minute • ( = 0.00004˙629 rev)	feminine	‫הדקת קשת הראשונה היא הקובעת‬
angle	degree • ( = 0.002˙7 rev)	feminine	‫המעלה אחת הראשונה היא הקובעת‬
angle	radian • ( = ~0.1591549430918953 rev)	masculine	‫הרדיאן אחד הראשון הוא הקובע‬
angle	revolutions	masculine	‫הסיבוב הראשון הוא הקובע‬
area	square centimeters	masculine	‫הסנטימטר רבוע הראשון הוא הקובע‬
area	square-inch • ( = 6.4516 cm²)	n/a	n/a
area	square-foot • ( = 929.0304 cm²)	n/a	n/a
area	square-yard • ( = 0.83612736 m²)	n/a	n/a
area	square meters	masculine	‫המטר רבוע הראשון הוא הקובע‬
area	acre • ( = 4046.8564224 m²)	n/a	n/a
area	hectares	masculine	‫ההקטאר הראשון הוא הקובע‬
area	square kilometers	masculine	‫הקילומטר רבוע הראשון הוא הקובע‬
area	square-mile • ( = 2.589988110336 km²)	n/a	n/a
concentration	millimole-per-liter • ( = 602214076000000000000000 items per cubic meter)	masculine	‫המילימול/ליטר הראשון הוא הקובע‬
consumption	liters per 100 kilometers	masculine	‫הליטר/100 ק״מ הראשון הוא הקובע‬
consumption	liters per kilometer	masculine	‫הליטר/קילומטר הראשון הוא הקובע‬
consumption-inverse	mile-per-gallon-imperial • ( = ~354006.1899346471 meters per cubic meter)	n/a	n/a
consumption-inverse	mile-per-gallon • ( = ~425143.707430272 meters per cubic meter)	n/a	n/a
digital	bits	masculine	‫הביט הראשון הוא הקובע‬
digital	byte • ( = 8 bit)	masculine	‫הבייט הראשון הוא הקובע‬
digital	kilobits	masculine	‫הקילוביט הראשון הוא הקובע‬
digital	kilobyte • ( = 8 kb)	masculine	‫הקילו-בייט הראשון הוא הקובע‬
digital	megabits	masculine	‫המגה-ביט הראשון הוא הקובע‬
digital	megabyte • ( = 8 Mb)	masculine	‫המגה-בייט הראשון הוא הקובע‬
digital	gigabits	masculine	‫הג'יגה-ביט הראשון הוא הקובע‬
digital	gigabyte • ( = 8 Gb)	masculine	‫הג׳יגה-בייט הראשון הוא הקובע‬
digital	terabits	masculine	‫הטרה-ביט הראשון הוא הקובע‬
digital	terabyte • ( = 8 Tb)	masculine	‫הטרה-בייט הראשון הוא הקובע‬
digital	petabyte • ( = 8000 Tb)	masculine	‫הפטה-בייט הראשון הוא הקובע‬
duration	nanoseconds	feminine	‫הננו שנייה הראשונה היא הקובעת‬
duration	microseconds	feminine	‫המיליונית שנייה הראשונה היא הקובעת‬
duration	milliseconds	feminine	‫האלפית שנייה הראשונה היא הקובעת‬
duration	seconds	feminine	‫השניה הראשונה היא הקובעת‬
duration	minute • ( = 60 sec)	feminine	‫הדקה הראשונה היא הקובעת‬
duration	hour • ( = 3600 sec)	feminine	‫השעה הראשונה היא הקובעת‬
duration	day • ( = 86400 sec)	masculine	‫היום הראשון הוא הקובע‬
duration	day-person • ( = 86400 sec)	masculine	‫היום הראשון הוא הקובע‬
duration	week • ( = 604800 sec)	masculine	‫השבוע הראשון הוא הקובע‬
electric-current	milliamperes	masculine	‫המיליאמפר הראשון הוא הקובע‬
electric-current	amperes	masculine	‫האמפר הראשון הוא הקובע‬
electric-resistance	ohms	masculine	‫הohm הראשון הוא הקובע‬
energy	joules	masculine	‫הג׳אול הראשון הוא הקובע‬
energy	newton-meter • ( = 1 J)	masculine	‫הניוטון-מטר הראשון הוא הקובע‬
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a
energy	calorie • ( = 4.184 J)	feminine	‫הקלוריה הראשונה היא הקובעת‬
energy	kilojoules	masculine	‫הקילו ג׳אול הראשון הוא הקובע‬
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	masculine	‫הקילוואט־שעה הראשון הוא הקובע‬
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a
force	newtons	masculine	‫הניוטון הראשון הוא הקובע‬
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	‫הקילוואט/שעה ל-100 קילומטר הראשון הוא הקובע‬
frequency	hertz	masculine	‫ההרץ הראשון הוא הקובע‬
frequency	kilohertz	masculine	‫הקילו-הרץ הראשון הוא הקובע‬
frequency	megahertz	masculine	‫המגה-הרץ הראשון הוא הקובע‬
frequency	gigahertz	masculine	‫הג׳יגה-הרץ הראשון הוא הקובע‬
graphics	pixel • ( = 1 dot)	masculine	‫ה‎ px ‎ הראשון הוא הקובע‬
graphics	megapixels	masculine	‫ה‎ MP ‎ הראשון הוא הקובע‬
illuminance	lux	masculine	‫הלוקס אחד הראשון הוא הקובע‬
length	picometers	masculine	‫הפיקומטר הראשון הוא הקובע‬
length	nanometers	masculine	‫הננומטר הראשון הוא הקובע‬
length	micrometers	masculine	‫המיקרומטר הראשון הוא הקובע‬
length	point • ( = 352.˙7 μm)	n/a	n/a
length	millimeters	masculine	‫המילימטר הראשון הוא הקובע‬
length	centimeters	masculine	‫הסנטימטר הראשון הוא הקובע‬
length	inch • ( = 2.54 cm)	n/a	n/a
length	decimeters	masculine	‫הדצימטר אחד הראשון הוא הקובע‬
length	foot • ( = 3.048 dm)	n/a	n/a
length	yard • ( = 0.9144 m)	n/a	n/a
length	meters	masculine	‫המטר הראשון הוא הקובע‬
length	fathom • ( = 1.8288 m)	n/a	n/a
length	furlong • ( = 201.168 m)	n/a	n/a
length	kilometers	masculine	‫הקילומטר הראשון הוא הקובע‬
length	mile • ( = 1.609344 km)	n/a	n/a
length	mile-scandinavian • ( = 10 km)	masculine	‫המייל-סקנדינביה הראשון הוא הקובע‬
length	earth-radius • ( = 6378.1 km)	n/a	n/a
length	solar-radius • ( = 695700 km)	n/a	n/a
length	light-year • ( = 9460730472580.8 km)	n/a	n/a
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a
luminous-flux	lumen	masculine	‫הלומן הראשון הוא הקובע‬
luminous-intensity	candela	feminine	‫הקנדלה הראשונה היא הקובעת‬
mass	micrograms	masculine	‫המיקרוגרם אחד הראשון הוא הקובע‬
mass	milligrams	masculine	‫המיליגרם אחד הראשון הוא הקובע‬
mass	grain • ( = 64.79891 mg)	n/a	n/a
mass	carat • ( = 200 mg)	masculine	‫הקרט אחד הראשון הוא הקובע‬
mass	grams	masculine	‫הגרם הראשון הוא הקובע‬
mass	ounce • ( = 28.349523125 g)	n/a	n/a
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a
mass	pound • ( = 453.59237 g)	n/a	n/a
mass	kilograms	masculine	‫הקילוגרם הראשון הוא הקובע‬
mass	stone • ( = 6.35029318 kg)	n/a	n/a
mass	ton • ( = 0.90718474 t)	n/a	n/a
mass	metric tons	masculine	‫הטון מטרי אחד הראשון הוא הקובע‬
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a
night-duration	nights	n/a	n/a
portion	parts per billion	n/a	n/a
portion	parts per million	masculine	‫החלקים למיליון הראשון הוא הקובע‬
portion	permyriad	feminine	‫הרבבית הראשונה היא הקובעת‬
portion	permille	masculine	‫הפרומיל הראשון הוא הקובע‬
portion	percent	masculine	‫האחוז הראשון הוא הקובע‬
portion	karat • ( = 4.1˙6%)	masculine	‫הקראט אחד הראשון הוא הקובע‬
power	milliwatts	masculine	‫המיליוואט הראשון הוא הקובע‬
power	watts	masculine	‫הואט הראשון הוא הקובע‬
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a
power	kilowatts	masculine	‫הקילוואט הראשון הוא הקובע‬
power	megawatts	masculine	‫המגה ואט הראשון הוא הקובע‬
power	gigawatts	masculine	‫הג׳יגה ואט הראשון הוא הקובע‬
