# Grammatical Features
#Locale	ID	Feature	Usage	Values
Icelandic	is	grammaticalCase	general	nominative, accusative, genitive, dative
Icelandic	is	grammaticalDefiniteness	general	indefinite, definite
Icelandic	is	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dagur	<div class='cldr_example'><span class='cldr_substituted'>1</span> dagur</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dagur</div>
Plural	other	{0} dagar	<div class='cldr_example'><span class='cldr_substituted'>2</span> dagar</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dagar</div>
Case (for measurement units)	nominative	hér er {0}	<div class='cldr_example'>hér er <span class='cldr_substituted'>2 dagar</span></div><div class='cldr_example'>❌  hér er <span class='cldr_substituted'>1 dag</span></div>
Case (for measurement units)	accusative	um {0}	<div class='cldr_example'>um <span class='cldr_substituted'>1 dag</span></div><div class='cldr_example'>❌  um <span class='cldr_substituted'>1 degi</span></div>
Case (for measurement units)	genitive	til {0}	<div class='cldr_example'>til <span class='cldr_substituted'>2 daga</span></div><div class='cldr_example'>❌  til <span class='cldr_substituted'>1 dag</span></div>
Case (for measurement units)	dative	frá {0}	<div class='cldr_example'>frá <span class='cldr_substituted'>1 degi</span></div><div class='cldr_example'>❌  frá <span class='cldr_substituted'>1 dag</span></div>
Gender (for measurement units)	masculine	Einn {0} eftir	<div class='cldr_example'>Einn <span class='cldr_substituted'>dagur</span> eftir</div><div class='cldr_example'>❌  Einn <span class='cldr_substituted'>klukkustund</span> eftir</div>
Gender (for measurement units)	feminine	Ein {0} eftir	<div class='cldr_example'>Ein <span class='cldr_substituted'>klukkustund</span> eftir</div><div class='cldr_example'>❌  Ein <span class='cldr_substituted'>dagur</span> eftir</div>
Gender (for measurement units)	neuter	Eitt {0} eftir	<div class='cldr_example'>Eitt <span class='cldr_substituted'>ár</span> eftir</div><div class='cldr_example'>❌  Eitt <span class='cldr_substituted'>klukkustund</span> eftir</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 21.0	Pattern for other	Case MP + pattern with 2.0
acceleration	meters per second squared	masculine	Einn metri á sekúndu, á sekúndu eftir	nominative	{0} metri á sekúndu, á sekúndu	hér er 21 metri á sekúndu, á sekúndu	{0} metrar á sekúndu, á sekúndu	hér er 2 metrar á sekúndu, á sekúndu
acceleration	meters per second squared	masculine	Einn metri á sekúndu, á sekúndu eftir	accusative	{0} metra á sekúndu, á sekúndu	um 21 metra á sekúndu, á sekúndu	{0} metra á sekúndu, á sekúndu	um 2 metra á sekúndu, á sekúndu
acceleration	meters per second squared	masculine	Einn metri á sekúndu, á sekúndu eftir	genitive	{0} metra á sekúndu, á sekúndu	til 21 metra á sekúndu, á sekúndu	{0} metra á sekúndu, á sekúndu	til 2 metra á sekúndu, á sekúndu
acceleration	meters per second squared	masculine	Einn metri á sekúndu, á sekúndu eftir	dative	{0} metra á sekúndu, á sekúndu	frá 21 metra á sekúndu, á sekúndu	{0} metrum á sekúndu, á sekúndu	frá 2 metrum á sekúndu, á sekúndu
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	nominative	{0} þyngdarhröðun	hér er 21 þyngdarhröðun	{0} þyngdarhröðun	hér er 2 þyngdarhröðun
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	accusative	{0} þyngdarhröðun	um 21 þyngdarhröðun	{0} þyngdarhröðun	um 2 þyngdarhröðun
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	genitive	{0} þyngdarhröðunar	til 21 þyngdarhröðunar	{0} þyngdarhröðunar	til 2 þyngdarhröðunar
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	dative	{0} þyngdarhröðun	frá 21 þyngdarhröðun	{0} þyngdarhröðun	frá 2 þyngdarhröðun
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	nominative	{0} bogasekúnda	hér er 21 bogasekúnda	{0} bogasekúndur	hér er 2 bogasekúndur
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	accusative	{0} bogasekúndu	um 21 bogasekúndu	{0} bogasekúndur	um 2 bogasekúndur
