# Grammatical Features
#Locale	ID	Feature	Usage	Values
Romanian	ro	grammaticalCase	general	nominative, genitive
Romanian	ro	grammaticalDefiniteness	general	indefinite, definite
Romanian	ro	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} zi	<div class='cldr_example'><span class='cldr_substituted'>1</span> zi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zi</div>
Plural	few	{0} zile	<div class='cldr_example'><span class='cldr_substituted'>2</span> zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>20</span> zile</div>
Plural	other	{0} de zile	<div class='cldr_example'><span class='cldr_substituted'>20</span> de zile</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> de zile</div>
Case (for measurement units)	nominative	{0} este/sunt …	<div class='cldr_example'><span class='cldr_substituted'>20 de zile</span> este/sunt …</div><div class='cldr_example'>❌  <span class='cldr_substituted'>unei zile</span> este/sunt …</div>
Case (for measurement units)	genitive	… ale (celor) {0} …	<div class='cldr_example'>… ale (celor) <span class='cldr_substituted'>unei zile</span> …</div><div class='cldr_example'>❌  … ale (celor) <span class='cldr_substituted'>20 de zile</span> …</div>
Gender (for measurement units)	masculine	Un {0} costă 5 €, doi costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>an</span> costă 5 €, doi costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, doi costă 9 €.</div>
Gender (for measurement units)	feminine	O {0} costă 5 €.	<div class='cldr_example'>O <span class='cldr_substituted'>zi</span> costă 5 €.</div><div class='cldr_example'>❌  O <span class='cldr_substituted'>an</span> costă 5 €.</div>
Gender (for measurement units)	neuter	Un {0} costă 5 €, două costă 9 €.	<div class='cldr_example'>Un <span class='cldr_substituted'>minut</span> costă 5 €, două costă 9 €.</div><div class='cldr_example'>❌  Un <span class='cldr_substituted'>zi</span> costă 5 €, două costă 9 €.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 2.0	Pattern for other	Case MP + pattern with 21.0
acceleration	meters per second squared	masculine	Un metru pe secundă la pătrat costă 5 €, doi costă 9 €.	nominative	{0} metru pe secundă la pătrat	1 metru pe secundă la pătrat este/sunt …	{0} metri pe secundă la pătrat	2 metri pe secundă la pătrat este/sunt …	{0} de metri pe secundă la pătrat	21 de metri pe secundă la pătrat este/sunt …
acceleration	meters per second squared	masculine	Un metru pe secundă la pătrat costă 5 €, doi costă 9 €.	genitive	unui metru pe secundă la pătrat	… ale (celor) unui metru pe secundă la pătrat …	{0} metri pe secundă la pătrat	… ale (celor) 2 metri pe secundă la pătrat …	{0} de metri pe secundă la pătrat	… ale (celor) 21 de metri pe secundă la pătrat …
acceleration	g-force • ( = 9.80665 m/s²)	feminine	O forță g costă 5 €.	nominative	{0} forță g	1 forță g este/sunt …	{0} forță g	2 forță g este/sunt …	{0} forță g	21 forță g este/sunt …
acceleration	g-force • ( = 9.80665 m/s²)	feminine	O forță g costă 5 €.	genitive	{0} forță g	… ale (celor) 1 forță g …	{0} forță g	… ale (celor) 2 forță g …	{0} forță g	… ale (celor) 21 forță g …
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	O secundă de arc costă 5 €.	nominative	{0} secundă de arc	1 secundă de arc este/sunt …	{0} secunde de arc	2 secunde de arc este/sunt …	{0} de secunde de arc	21 de secunde de arc este/sunt …
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	O secundă de arc costă 5 €.	genitive	unei secunde de arc	… ale (celor) unei secunde de arc …	{0} secunde de arc	… ale (celor) 2 secunde de arc …	{0} de secunde de arc	… ale (celor) 21 de secunde de arc …
angle	arc-minute • ( = 0.00004˙629 rev)	neuter	Un minut de arc costă 5 €, două costă 9 €.	nominative	{0} minut de arc	1 minut de arc este/sunt …	{0} minute de arc	2 minute de arc este/sunt …	{0} de minute de arc	21 de minute de arc este/sunt …
angle	arc-minute • ( = 0.00004˙629 rev)	neuter	Un minut de arc costă 5 €, două costă 9 €.	genitive	unui minut de arc	… ale (celor) unui minut de arc …	{0} minute de arc	… ale (celor) 2 minute de arc …	{0} de minute de arc	… ale (celor) 21 de minute de arc …
angle	degree • ( = 0.002˙7 rev)	neuter	Un grad costă 5 €, două costă 9 €.	nominative	{0} grad	1 grad este/sunt …	{0} grade	2 grade este/sunt …	{0} de grade	21 de grade este/sunt …
angle	degree • ( = 0.002˙7 rev)	neuter	Un grad costă 5 €, două costă 9 €.	genitive	unui grad	… ale (celor) unui grad …	{0} grade	… ale (celor) 2 grade …	{0} de grade	… ale (celor) 21 de grade …
