# Grammatical Features
#Locale	ID	Feature	Usage	Values
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, locative, dative, instrumental
Czech	cs	grammaticalGender	general	animate, inanimate, feminine, neuter
Czech	cs	grammaticalGender	units	inanimate, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> den</div>
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dne</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dní</div>
Case (for measurement units)	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Chybí ještě <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 metr čtvereční</span>.</div><div class='cldr_example'>❌  Naměřili jsme <span class='cldr_substituted'>1 metru čtverečnímu</span>.</div>
Case (for measurement units)	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>10,0 metru čtverečního</span> se obejdeme.</div><div class='cldr_example'>❌  Bez <span class='cldr_substituted'>1 metr čtvereční</span> se obejdeme.</div>
Case (for measurement units)	locative	Po {0} se zastavil.	<div class='cldr_example'>Po <span class='cldr_substituted'>1 metru čtverečním</span> se zastavil.</div><div class='cldr_example'>❌  Po <span class='cldr_substituted'>1 metr čtvereční</span> se zastavil.</div>
Case (for measurement units)	dative	Díky {0} navíc to mohl stihnout.	<div class='cldr_example'>Díky <span class='cldr_substituted'>1 metru čtverečnímu</span> navíc to mohl stihnout.</div><div class='cldr_example'>❌  Díky <span class='cldr_substituted'>1 metr čtvereční</span> navíc to mohl stihnout.</div>
Case (for measurement units)	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 metrem čtverečním</span>.</div><div class='cldr_example'>❌  Spokojíme se s <span class='cldr_substituted'>1 metr čtvereční</span>.</div>
Gender (for measurement units)	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>den</span> stál 135 Kč.</div><div class='cldr_example'>❌  Jeden <span class='cldr_substituted'>hodina</span> stál 135 Kč.</div>
Gender (for measurement units)	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div><div class='cldr_example'>❌  Jedna <span class='cldr_substituted'>den</span> stála 135 Kč.</div>
Gender (for measurement units)	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div><div class='cldr_example'>❌  Jedno <span class='cldr_substituted'>hodina</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for few	Case MP + pattern with 3.0	Pattern for many	Case MP + pattern with 0.1	Pattern for other	Case MP + pattern with 5.0
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	nominative	{0} metr za sekundu na druhou	Chybí ještě 1 metr za sekundu na druhou.	{0} metry za sekundu na druhou	Chybí ještě 3 metry za sekundu na druhou.	{0} metru za sekundu na druhou	Chybí ještě 0,1 metru za sekundu na druhou.	{0} metrů za sekundu na druhou	Chybí ještě 5 metrů za sekundu na druhou.
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	accusative	{0} metr za sekundu na druhou	Naměřili jsme 1 metr za sekundu na druhou.	{0} metry za sekundu na druhou	Naměřili jsme 3 metry za sekundu na druhou.	{0} metru za sekundu na druhou	Naměřili jsme 0,1 metru za sekundu na druhou.	{0} metrů za sekundu na druhou	Naměřili jsme 5 metrů za sekundu na druhou.
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	genitive	{0} metru za sekundu na druhou	Bez 1 metru za sekundu na druhou se obejdeme.	{0} metrů za sekundu na druhou	Bez 3 metrů za sekundu na druhou se obejdeme.	{0} metru za sekundu na druhou	Bez 0,1 metru za sekundu na druhou se obejdeme.	{0} metrů za sekundu na druhou	Bez 5 metrů za sekundu na druhou se obejdeme.
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	locative	{0} metru za sekundu na druhou	Po 1 metru za sekundu na druhou se zastavil.	{0} metrech za sekundu na druhou	Po 3 metrech za sekundu na druhou se zastavil.	{0} metru za sekundu na druhou	Po 0,1 metru za sekundu na druhou se zastavil.	{0} metrech za sekundu na druhou	Po 5 metrech za sekundu na druhou se zastavil.
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	dative	{0} metru za sekundu na druhou	Díky 1 metru za sekundu na druhou navíc to mohl stihnout.	{0} metrům za sekundu na druhou	Díky 3 metrům za sekundu na druhou navíc to mohl stihnout.	{0} metru za sekundu na druhou	Díky 0,1 metru za sekundu na druhou navíc to mohl stihnout.	{0} metrům za sekundu na druhou	Díky 5 metrům za sekundu na druhou navíc to mohl stihnout.
acceleration	meters per second squared	inanimate	Jeden metr za sekundu na druhou stál 135 Kč.	instrumental	{0} metrem za sekundu na druhou	Spokojíme se s 1 metrem za sekundu na druhou.	{0} metry za sekundu na druhou	Spokojíme se s 3 metry za sekundu na druhou.	{0} metru za sekundu na druhou	Spokojíme se s 0,1 metru za sekundu na druhou.	{0} metry za sekundu na druhou	Spokojíme se s 5 metry za sekundu na druhou.
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	nominative	{0} gravitační síla	Chybí ještě 1 gravitační síla.	{0} gravitační síly	Chybí ještě 3 gravitační síly.	{0} gravitační síly	Chybí ještě 0,1 gravitační síly.	{0} gravitačních sil	Chybí ještě 5 gravitačních sil.
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	accusative	{0} gravitační sílu	Naměřili jsme 1 gravitační sílu.	{0} gravitační síly	Naměřili jsme 3 gravitační síly.	{0} gravitační síly	Naměřili jsme 0,1 gravitační síly.	{0} gravitačních sil	Naměřili jsme 5 gravitačních sil.
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	genitive	{0} gravitační síly	Bez 1 gravitační síly se obejdeme.	{0} gravitačních sil	Bez 3 gravitačních sil se obejdeme.	{0} gravitační síly	Bez 0,1 gravitační síly se obejdeme.	{0} gravitačních sil	Bez 5 gravitačních sil se obejdeme.
acceleration	g-force • ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	locative	{0} gravitační síle	Po 1 gravitační síle se zastavil.	{0} gravitačních silách	Po 3 gravitačních silách se zastavil.	{0} gravitační síly	Po 0,1 gravitační síly se zastavil.	{0} gravitačních silách	Po 5 gravitačních silách se zastavil.
