# Grammatical Features
#Locale	ID	Feature	Usage	Values
Slovenian	sl	grammaticalCase	general	nominative, accusative, genitive, locative, dative, instrumental
Slovenian	sl	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	{0} dan	<div class='cldr_example'><span class='cldr_substituted'>1</span> dan</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dan</div>
Plural	two	{0} dneva	<div class='cldr_example'><span class='cldr_substituted'>2</span> dneva</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dneva</div>
Plural	few	{0} dnevi	<div class='cldr_example'><span class='cldr_substituted'>3</span> dnevi</div><div class='cldr_example'>❌  <span class='cldr_substituted'>5</span> dnevi</div>
Plural	other	{0} dni	<div class='cldr_example'><span class='cldr_substituted'>5</span> dni</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3</span> dni</div>
Case (for measurement units)	nominative	{0} je	<div class='cldr_example'><span class='cldr_substituted'>2 kvadratna metra</span> je</div><div class='cldr_example'>❌  <span class='cldr_substituted'>3 kvadratne metre</span> je</div>
Case (for measurement units)	accusative	čez {0}	<div class='cldr_example'>čez <span class='cldr_substituted'>3 kvadratne metre</span></div><div class='cldr_example'>❌  čez <span class='cldr_substituted'>1 kvadratnemu metru</span></div>
Case (for measurement units)	genitive	brez {0}	<div class='cldr_example'>brez <span class='cldr_substituted'>1 kvadratnega metra</span></div><div class='cldr_example'>❌  brez <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	locative	po {0}	<div class='cldr_example'>po <span class='cldr_substituted'>1 kvadratnem metru</span></div><div class='cldr_example'>❌  po <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	dative	kljub {0}	<div class='cldr_example'>kljub <span class='cldr_substituted'>1 kvadratnemu metru</span></div><div class='cldr_example'>❌  kljub <span class='cldr_substituted'>3 kvadratne metre</span></div>
Case (for measurement units)	instrumental	s/z {0}	<div class='cldr_example'>s/z <span class='cldr_substituted'>1 kvadratnim metrom</span></div><div class='cldr_example'>❌  s/z <span class='cldr_substituted'>3 kvadratne metre</span></div>
Gender (for measurement units)	masculine	On {0}	<div class='cldr_example'>On <span class='cldr_substituted'>dan</span></div><div class='cldr_example'>❌  On <span class='cldr_substituted'>ura</span></div>
Gender (for measurement units)	feminine	Ona {0}	<div class='cldr_example'>Ona <span class='cldr_substituted'>ura</span></div><div class='cldr_example'>❌  Ona <span class='cldr_substituted'>dan</span></div>
Gender (for measurement units)	neuter	Ono {0}	<div class='cldr_example'>Ono <span class='cldr_substituted'>leto</span></div><div class='cldr_example'>❌  Ono <span class='cldr_substituted'>ura</span></div>

# Unit Case and Gender Info
#Quantity	Unit	Gender	Gender MP + unit	Case	Pattern for one	Case MP + pattern with 101.0	Pattern for two	Case MP + pattern with 102.0	Pattern for few	Case MP + pattern with 4.0	Pattern for other	Case MP + pattern with 5.0
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	nominative	{0} meter na kvadratno sekundo	101 meter na kvadratno sekundo je	{0} metra na kvadratno sekundo	102 metra na kvadratno sekundo je	{0} metri na kvadratno sekundo	4 metri na kvadratno sekundo je	{0} metrov na kvadratno sekundo	5 metrov na kvadratno sekundo je
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	accusative	{0} meter na kvadratno sekundo	čez 101 meter na kvadratno sekundo	{0} metra na kvadratno sekundo	čez 102 metra na kvadratno sekundo	{0} metre na kvadratno sekundo	čez 4 metre na kvadratno sekundo	{0} metrov na kvadratno sekundo	čez 5 metrov na kvadratno sekundo
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	genitive	{0} metra na kvadratno sekundo	brez 101 metra na kvadratno sekundo	{0} metrov na kvadratno sekundo	brez 102 metrov na kvadratno sekundo	{0} metrov na kvadratno sekundo	brez 4 metrov na kvadratno sekundo	{0} metrov na kvadratno sekundo	brez 5 metrov na kvadratno sekundo
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	locative	{0} metru na kvadratno sekundo	po 101 metru na kvadratno sekundo	{0} metrih na kvadratno sekundo	po 102 metrih na kvadratno sekundo	{0} metrih na kvadratno sekundo	po 4 metrih na kvadratno sekundo	{0} metrih na kvadratno sekundo	po 5 metrih na kvadratno sekundo
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	dative	{0} metru na kvadratno sekundo	kljub 101 metru na kvadratno sekundo	{0} metroma na kvadratno sekundo	kljub 102 metroma na kvadratno sekundo	{0} metrom na kvadratno sekundo	kljub 4 metrom na kvadratno sekundo	{0} metrom na kvadratno sekundo	kljub 5 metrom na kvadratno sekundo
acceleration	meters per second squared	masculine	On meter na kvadratno sekundo	instrumental	{0} metrom na kvadratno sekundo	s/z 101 metrom na kvadratno sekundo	{0} metroma na kvadratno sekundo	s/z 102 metroma na kvadratno sekundo	{0} metri na kvadratno sekundo	s/z 4 metri na kvadratno sekundo	{0} metri na kvadratno sekundo	s/z 5 metri na kvadratno sekundo
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	nominative	{0} težni pospešek	101 težni pospešek je	{0} težna pospeška	102 težna pospeška je	{0} težni pospeški	4 težni pospeški je	{0} težnih pospeškov	5 težnih pospeškov je
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	accusative	{0} težni pospešek	čez 101 težni pospešek	{0} težna pospeška	čez 102 težna pospeška	{0} težne pospeške	čez 4 težne pospeške	{0} težnih pospeškov	čez 5 težnih pospeškov
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	genitive	{0} težnega pospeška	brez 101 težnega pospeška	{0} težnih pospeškov	brez 102 težnih pospeškov	{0} težnih pospeškov	brez 4 težnih pospeškov	{0} težnih pospeškov	brez 5 težnih pospeškov
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	locative	{0} težnem pospešku	po 101 težnem pospešku	{0} težnih pospeških	po 102 težnih pospeških	{0} težnih pospeških	po 4 težnih pospeških	{0} težnih pospeških	po 5 težnih pospeških
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	dative	{0} težnemu pospešku	kljub 101 težnemu pospešku	{0} težnima pospeškoma	kljub 102 težnima pospeškoma	{0} težnim pospeškom	kljub 4 težnim pospeškom	{0} težnim pospeškom	kljub 5 težnim pospeškom
acceleration	g-force • ( = 9.80665 m/s²)	masculine	On težni pospešek	instrumental	{0} težnim pospeškom	s/z 101 težnim pospeškom	{0} težnima pospeškoma	s/z 102 težnima pospeškoma	{0} težnimi pospeški	s/z 4 težnimi pospeški	{0} težnimi pospeški	s/z 5 težnimi pospeški
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	nominative	{0} kotna sekunda	101 kotna sekunda je	{0} kotni sekundi	102 kotni sekundi je	{0} kotne sekunde	4 kotne sekunde je	{0} kotnih sekund	5 kotnih sekund je
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	accusative	{0} kotno sekundo	čez 101 kotno sekundo	{0} kotni sekundi	čez 102 kotni sekundi	{0} kotne sekunde	čez 4 kotne sekunde	{0} kotnih sekund	čez 5 kotnih sekund
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	genitive	{0} kotne sekunde	brez 101 kotne sekunde	{0} kotnih sekund	brez 102 kotnih sekund	{0} kotnih sekund	brez 4 kotnih sekund	{0} kotnih sekund	brez 5 kotnih sekund
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	locative	{0} kotni sekundi	po 101 kotni sekundi	{0} kotnih sekundah	po 102 kotnih sekundah	{0} kotnih sekundah	po 4 kotnih sekundah	{0} kotnih sekundah	po 5 kotnih sekundah
angle	arc-second • ( = 0.0000007˙716049382 rev)	feminine	Ona kotna sekunda	dative	{0} kotni sekundi	kljub 101 kotni sekundi	{0} kotnima sekundama	kljub 102 kotnima sekundama	{0} kotnim sekundam	kljub 4 kotnim sekundam	{0} kotnim sekundam	kljub 5 kotnim sekundam
