# Grammatical Features
#Locale	ID	Feature	Usage	Values
Arabic	ar	grammaticalCase	general	nominative, accusative, genitive
Arabic	ar	grammaticalDefiniteness	general	indefinite, definite, construct
Arabic	ar	grammaticalGender	general	masculine, feminine

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
duration	day-person • ( = 86400 sec)	masculine	‫يوم واحد‬
duration	week • ( = 604800 sec)	masculine	‫أسبوع واحد‬
electric-current	milliamperes	masculine	‫ملي أمبير واحد‬
electric-current	amperes	masculine	‫أمبير واحد‬
electric-resistance	ohms	masculine	‫أوم واحد‬
energy	joules	masculine	‫جول واحد‬
energy	newton-meter • ( = 1 J)	masculine	‫نيوتن متر واحد‬
energy	pound-force-foot • ( = 1.3558179483314004 J)	n/a	n/a
energy	calorie • ( = 4.184 J)	feminine	‫سعرة واحدة‬
energy	kilojoules	masculine	‫كيلو جول واحد‬
energy	british-thermal-unit • ( = 1.0543502644˙8 kJ)	n/a	n/a
energy	foodcalorie • ( = 4.184 kJ)	n/a	n/a
energy	kilowatt-hour • ( = 3600000 kilogram-square meter-seconds per cubic second)	masculine	‫كيلو واط/ساعة واحد‬
energy	therm-us • ( = 105480.4 kJ)	n/a	n/a
force	newtons	masculine	‫نيوتن واحد‬
force	pound-force • ( = 4.4482216152605 N)	n/a	n/a
force	kilowatt-hour-per-100-kilometer • ( = 36 kilogram-square meter-seconds per meter-cubic second)	masculine	‫كيلوواط ساعة لكل 100 كيلومتر واحد‬
frequency	hertz	masculine	‫هرتز واحد‬
frequency	kilohertz	masculine	‫كيلو هرتز واحد‬
frequency	megahertz	masculine	‫ميغا هرتز واحد‬
frequency	gigahertz	masculine	‫غيغا هرتز واحد‬
graphics	pixel • ( = 1 dot)	masculine	‫بكسل واحد‬
graphics	megapixels	masculine	‫ميغابكسل واحد‬
illuminance	lux	masculine	‫لكس واحد‬
length	picometers	masculine	‫بيكومتر واحد‬
length	nanometers	masculine	‫نانو متر واحد‬
length	micrometers	masculine	‫ميكرومتر واحد‬
length	point • ( = 352.˙7 μm)	n/a	n/a
length	millimeters	masculine	‫مليمتر واحد‬
length	centimeters	masculine	‫سنتيمتر واحد‬
length	inch • ( = 2.54 cm)	n/a	n/a
length	decimeters	masculine	‫ديسيمتر واحد‬
length	foot • ( = 3.048 dm)	n/a	n/a
length	yard • ( = 0.9144 m)	n/a	n/a
length	meters	masculine	‫متر واحد‬
length	fathom • ( = 1.8288 m)	n/a	n/a
length	furlong • ( = 201.168 m)	n/a	n/a
length	kilometers	masculine	‫كيلومتر واحد‬
length	mile • ( = 1.609344 km)	n/a	n/a
length	mile-scandinavian • ( = 10 km)	masculine	‫ميل اسكندنافي واحد‬
length	earth-radius • ( = 6378.1 km)	n/a	n/a
length	solar-radius • ( = 695700 km)	n/a	n/a
length	light-year • ( = 9460730472580.8 km)	n/a	n/a
length	parsec • ( = ~3.085677581491367E13 km)	n/a	n/a
luminous-flux	lumen	masculine	‫لومن واحد‬
luminous-intensity	candela	feminine	‫شمعة واحدة‬
mass	micrograms	masculine	‫ميكروغرام واحد‬
mass	milligrams	masculine	‫مليغرام واحد‬
mass	grain • ( = 64.79891 mg)	n/a	n/a
mass	carat • ( = 200 mg)	masculine	‫قيراط واحد‬
mass	grams	masculine	‫غرام واحد‬
mass	ounce • ( = 28.349523125 g)	n/a	n/a
mass	ounce-troy • ( = 31.10348 g)	n/a	n/a
mass	pound • ( = 453.59237 g)	n/a	n/a
mass	kilograms	masculine	‫كيلوغرام واحد‬
mass	stone • ( = 6.35029318 kg)	n/a	n/a
mass	ton • ( = 0.90718474 t)	n/a	n/a
mass	metric tons	masculine	‫طن متري واحد‬
mass	earth-mass • ( = 5972200000000000000000 t)	n/a	n/a
mass	solar-mass • ( = 1988470000000000000000000000 t)	n/a	n/a
night-duration	nights	n/a	n/a
portion	parts per billion	n/a	n/a
portion	parts per million	masculine	‫جزء في المليون واحد‬
portion	permyriad	feminine	‫‱ واحدة‬
portion	permille	masculine	‫في الألف واحد‬
portion	percent	feminine	‫بالمائة واحدة‬
portion	karat • ( = 4.1˙6%)	masculine	‫قيراط واحد‬
power	milliwatts	masculine	‫ملي واط واحد‬
power	watts	masculine	‫واط واحد‬
power	horsepower • ( = 0.74569987158227022 kW)	n/a	n/a
power	kilowatts	masculine	‫كيلوواط واحد‬
power	megawatts	masculine	‫ميغا واط واحد‬
power	gigawatts	masculine	‫غيغا واط واحد‬
power	solar-luminosity • ( = 382800000000000000 GW)	n/a	n/a
pressure	pascals	masculine	‫باسكال واحد‬
pressure	hectopascal • ( = 1 mbar)	masculine	‫هكتوباسكال واحد‬
pressure	millibars	masculine	‫ملي بار واحد‬
pressure	kilopascals	masculine	‫كيلوباسكال واحد‬
pressure	inch-ofhg • ( = 3386.388640341 kilogram-meters per square meter-square second)	n/a	n/a
pressure	pound-force-per-square-inch • ( = ~6894.757293168361 kilogram-meters per square meter-square second)	n/a	n/a
pressure	bars	masculine	‫بار واحد‬
pressure	atmosphere • ( = 1.01325 bar)	masculine	‫ضغط جوي واحد‬
pressure	megapascals	masculine	‫ميغاباسكال واحد‬
resolution	dot-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a
resolution	pixel-per-inch • ( = ~39.37007874015748 pixels per meter)	n/a	n/a
resolution	pixel-per-centimeter • ( = 1 dpcm)	masculine	‫بكسل لكل سنتيمتر واحد‬
speed	kilometer-per-hour • ( = 0.2˙7 m/s)	masculine	‫كيلومتر في الساعة واحد‬
speed	mile-per-hour • ( = 0.44704 m/s)	n/a	n/a
speed	meters per second	masculine	‫متر في الثانية واحد‬
speed	light-speed • ( = 299792458 m/s)	n/a	n/a
substance-amount	items	masculine	‫عنصر واحد واحد‬
substance-amount	mole • ( = 602214076000000000000000 items)	masculine	‫مول واحد‬
temperature	degrees temperature	feminine	‫° واحدة‬
temperature	fahrenheit • ( = 0.˙5 K)	n/a	n/a
temperature	celsius • ( = 1 K)	feminine	‫درجة مئوية واحدة‬
temperature	kelvins	feminine	‫درجة كلفن واحدة‬
typewidth	typographic ems	masculine	‫إم واحد‬
voltage	volts	masculine	‫فولت واحد‬
volume	drop • ( = 0.0513429332682291˙6 mL)	n/a	n/a
volume	pinch • ( = 0.23104319970703125 mL)	n/a	n/a
volume	cubic-centimeter • ( = 1 mL)	masculine	‫سنتيمتر مكعب واحد‬
volume	milliliters	masculine	‫مليلتر واحد‬
volume	dessert-spoon • ( = 1.84834559765625 mL)	n/a	n/a
volume	dessert-spoon-imperial • ( = 2.2197705078125 mL)	n/a	n/a
volume	dram • ( = 3.6966911953125 mL)	n/a	n/a
volume	teaspoon • ( = 4.92892159375 mL)	n/a	n/a
volume	centiliters	masculine	‫سنتيلتر واحد‬
volume	tablespoon • ( = 1.478676478125 cL)	n/a	n/a
volume	cubic-inch • ( = 1.6387064 cL)	n/a	n/a
volume	fluid-ounce-imperial • ( = 2.84130625 cL)	n/a	n/a
volume	fluid-ounce • ( = 2.95735295625 cL)	n/a	n/a
volume	jigger • ( = 4.436029434375 cL)	n/a	n/a
volume	deciliter • ( = 10 cL)	masculine	‫ديسيلتر واحد‬
volume	cup • ( = 23.65882365 cL)	n/a	n/a
volume	cup-metric • ( = 25 cL)	masculine	‫كوب متري واحد‬
volume	pint • ( = 47.3176473 cL)	n/a	n/a
volume	pint-metric • ( = 50 cL)	masculine	‫مكيال متري واحد‬
volume	quart • ( = 0.946352946 L)	n/a	n/a
volume	liters	masculine	‫لتر واحد‬
volume	quart-imperial • ( = 1.1365225 L)	n/a	n/a
volume	gallon • ( = 3.785411784 L)	n/a	n/a
volume	gallon-imperial • ( = 4.54609 L)	n/a	n/a
volume	cubic-foot • ( = 28.316846592 L)	n/a	n/a
volume	bushel • ( = 35.23907016688 L)	n/a	n/a
volume	hectoliters	masculine	‫هكتولتر واحد‬
volume	barrel • ( = 1.58987294928 hL)	n/a	n/a
volume	cubic-yard • ( = 0.764554857984 m³)	n/a	n/a
volume	cubic meters	masculine	‫متر مكعب واحد‬
volume	megaliters	masculine	‫ميغالتر واحد‬
volume	acre-foot • ( = 1.23348183754752 ML)	n/a	n/a
volume	cubic kilometers	masculine	‫كيلومتر مكعب واحد‬
volume	cubic-mile • ( = 4.168181825440579584 km³)	n/a	n/a
year-duration	month • ( = 0.08˙3 yrs)	masculine	‫شهر واحد‬
year-duration	quarter • ( = 0.25 yrs)	masculine	‫ربع سنوي واحد‬
year-duration	years	feminine	‫سنة واحدة‬
year-duration	decades	masculine	‫عقد واحد‬
year-duration	centuries	masculine	‫قرن واحد‬

# Unit Power Components
#Unit	Case	Gender	Pattern for zero	Case MP + pattern with 0.0	Pattern for one	Case MP + pattern with 1.0	Pattern for two	Case MP + pattern with 2.0	Pattern for few	Case MP + pattern with 4.0	Pattern for many	Case MP + pattern with 12.0	Pattern for other	Case MP + pattern with 101.0
power2	nominative	masculine • (meter)	‫{0} مربّع‬	‫0 متر مربّع‬	‫{0} مربّع‬	‫متر مربّعمتر‬	‫{0} مربّعان‬	‫2 متر مربّعان‬	‫{0} مربّعة‬	‫4 أمتار مربّعة‬	‫{0} مربّعًا‬	‫12 مترًا مربّعًا‬	‫{0} مربّع‬	‫101 متر مربّع‬
power2	nominative	feminine • (second)	‫{0} مربّعة‬	‫0 ثانية مربّعة‬	‫{0} مربّعة‬	‫ثانية مربّعةثانية‬	‫{0} مربّعتان‬	‫ثانيتان مربّعتانثانيتان‬	‫{0} مربّعة‬	‫4 ثوان مربّعة‬	‫{0} مربّعة‬	‫12 ثانية مربّعة‬	‫{0} مربّعة‬	‫101 ثانية مربّعة‬
power3	nominative	masculine • (meter)	‫{0} مكعّب‬	‫0 متر مكعّب‬	‫{0} مكعّب‬	‫متر مكعّبمتر‬	‫{0} مكعّبان‬	‫2 متر مكعّبان‬	‫{0} مكعّبة‬	‫4 أمتار مكعّبة‬	‫{0} مكعبًا‬	‫12 مترًا مكعبًا‬	‫{0} مكعّب‬	‫101 متر مكعّب‬
power3	nominative	feminine • (second)	‫{0} مكعّبة‬	‫0 ثانية مكعّبة‬	‫{0} مكعّبة‬	‫ثانية مكعّبةثانية‬	‫{0} مكعّبتان‬	‫ثانيتان مكعّبتانثانيتان‬	‫{0} مكعّبة‬	‫4 ثوان مكعّبة‬	‫{0} مكعّبة‬	‫12 ثانية مكعّبة‬	‫{0} مكعّبة‬	‫101 ثانية مكعّبة‬
