# Grammatical Features
Czech	cs	grammaticalCase	general	nominative, vocative, accusative, genitive, dative, locative, instrumental
Czech	cs	grammaticalCase	units	nominative, accusative, genitive, instrumental
Czech	cs	grammaticalGender	general	neuter, inanimate, animate, feminine
Czech	cs	grammaticalGender	units	neuter, inanimate, feminine

# Minimal Pairs
Plural	few	{0} dny	<div class='cldr_example'><span class='cldr_substituted'>2</span> dny</div>
Plural	many	{0} dne	<div class='cldr_example'><span class='cldr_substituted'>10,0</span> dne</div>
Plural	one	{0} den	<div class='cldr_example'><span class='cldr_substituted'>1</span> den</div>
Plural	other	{0} dní	<div class='cldr_example'><span class='cldr_substituted'>5</span> dní</div>
Case	accusative	Naměřili jsme {0}.	<div class='cldr_example'>Naměřili jsme <span class='cldr_substituted'>1 skandinávskou míli</span>.</div>
Case	genitive	Bez {0} se obejdeme.	<div class='cldr_example'>Bez <span class='cldr_substituted'>5 skandinávských mil</span> se obejdeme.</div>
Case	instrumental	Spokojíme se s {0}.	<div class='cldr_example'>Spokojíme se s <span class='cldr_substituted'>1 skandinávskou mílí</span>.</div>
Case	nominative	Chybí ještě {0}.	<div class='cldr_example'>Chybí ještě <span class='cldr_substituted'>1 skandinávská míle</span>.</div>
Gender	feminine	Jedna {0} stála 135 Kč.	<div class='cldr_example'>Jedna <span class='cldr_substituted'>hodina</span> stála 135 Kč.</div>
Gender	inanimate	Jeden {0} stál 135 Kč.	<div class='cldr_example'>Jeden <span class='cldr_substituted'>metr</span> stál 135 Kč.</div>
Gender	neuter	Jedno {0} stálo 135 Kč.	<div class='cldr_example'>Jedno <span class='cldr_substituted'>století</span> stálo 135 Kč.</div>

# Unit Case and Gender Info
acceleration	g-force ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	nominative	{0} gravitační síla	Chybí ještě 1 gravitační síla.	{0} gravitační síly	Chybí ještě 3 gravitační síly.	{0} gravitační síly	Chybí ještě 0,1 gravitační síly.	{0} gravitačních sil	Chybí ještě 5 gravitačních sil.
acceleration	g-force ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	accusative	{0} gravitační sílu	Naměřili jsme 1 gravitační sílu.	{0} gravitační síly	Naměřili jsme 3 gravitační síly.	{0} gravitační síly	Naměřili jsme 0,1 gravitační síly.	{0} gravitačních sil	Naměřili jsme 5 gravitačních sil.
acceleration	g-force ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	genitive	{0} gravitační síly	Bez 1 gravitační síly se obejdeme.	{0} gravitačních sil	Bez 3 gravitačních sil se obejdeme.	{0} gravitační síly	Bez 0,1 gravitační síly se obejdeme.	{0} gravitačních sil	Bez 5 gravitačních sil se obejdeme.
acceleration	g-force ( = 9.80665 m/s²)	feminine	Jedna gravitační síla stála 135 Kč.	instrumental	{0} gravitační silou	Spokojíme se s 1 gravitační silou.	{0} gravitačními silami	Spokojíme se s 3 gravitačními silami.	{0} gravitační síly	Spokojíme se s 0,1 gravitační síly.	{0} gravitačními silami	Spokojíme se s 5 gravitačními silami.
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	nominative	{0} vteřina	Chybí ještě 1 vteřina.	{0} vteřiny	Chybí ještě 3 vteřiny.	{0} vteřiny	Chybí ještě 0,1 vteřiny.	{0} vteřin	Chybí ještě 5 vteřin.
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	accusative	{0} vteřinu	Naměřili jsme 1 vteřinu.	{0} vteřiny	Naměřili jsme 3 vteřiny.	{0} vteřiny	Naměřili jsme 0,1 vteřiny.	{0} vteřin	Naměřili jsme 5 vteřin.
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	genitive	{0} vteřiny	Bez 1 vteřiny se obejdeme.	{0} vteřin	Bez 3 vteřin se obejdeme.	{0} vteřiny	Bez 0,1 vteřiny se obejdeme.	{0} vteřin	Bez 5 vteřin se obejdeme.
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Jedna vteřina stála 135 Kč.	instrumental	{0} vteřinou	Spokojíme se s 1 vteřinou.	{0} vteřinami	Spokojíme se s 3 vteřinami.	{0} vteřiny	Spokojíme se s 0,1 vteřiny.	{0} vteřinami	Spokojíme se s 5 vteřinami.
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	nominative	{0} minuta	Chybí ještě 1 minuta.	{0} minuty	Chybí ještě 3 minuty.	{0} minuty	Chybí ještě 0,1 minuty.	{0} minut	Chybí ještě 5 minut.
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Jedna minuta stála 135 Kč.	accusative	{0} minutu	Naměřili jsme 1 minutu.	{0} minuty	Naměřili jsme 3 minuty.	{0} minuty	Naměřili jsme 0,1 minuty.	{0} minut	Naměřili jsme 5 minut.
