# Grammatical Features
#Locale	ID	Feature	Usage	Values
Hungarian	hu	grammaticalCase	general	nominative, accusative, dative, instrumental, ablative, inessive, elative, illative, adessive, allative, essive, translative, causal, delative, sublative, superessive, terminative
Hungarian	hu	grammaticalCase	units	nominative, accusative, instrumental, translative, terminative

# Minimal Pairs
#Type	Code	Pattern	Formatted Sample
Plural	one	A kosár tartalma: {0} X. Megveszi?	<div class='cldr_example'>A kosár tartalma: <span class='cldr_substituted'>1</span> X. Megveszi?</div><div class='cldr_example'>❌  A kosár tartalma: <span class='cldr_substituted'>2</span> X. Megveszi?</div>
Plural	other	A kosár tartalma: {0} X. Megveszi őket?	<div class='cldr_example'>A kosár tartalma: <span class='cldr_substituted'>2</span> X. Megveszi őket?</div><div class='cldr_example'>❌  A kosár tartalma: <span class='cldr_substituted'>1</span> X. Megveszi őket?</div>
Case (for measurement units)	nominative	{0} év	<div class='cldr_example'><span class='cldr_substituted'>1 centiméter</span> év</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 centimétert</span> év</div>
Case (for measurement units)	accusative	{0} évet	<div class='cldr_example'><span class='cldr_substituted'>1 centimétert</span> évet</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 centiméterrel</span> évet</div>
Case (for measurement units)	instrumental	{0} évvel	<div class='cldr_example'><span class='cldr_substituted'>1 centiméterrel</span> évvel</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 centimétert</span> évvel</div>
Case (for measurement units)	translative	{0} évvé	<div class='cldr_example'><span class='cldr_substituted'>1 centiméterré</span> évvé</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 centimétert</span> évvé</div>
Case (for measurement units)	terminative	{0} évig	<div class='cldr_example'><span class='cldr_substituted'>1 centiméterig</span> évig</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1 centimétert</span> évig</div>

# Unit Case and Gender Info
#Quantity	Unit	Case	Pattern for one	Case MP + pattern with 1.0	Pattern for other	Case MP + pattern with 2.0
acceleration	meters per second squared	nominative	{0} méter per másodpercnégyzet	1 méter per másodpercnégyzet év	{0} méter per másodpercnégyzet	2 méter per másodpercnégyzet év
acceleration	meters per second squared	accusative	{0} méter per másodpercnégyzetet	1 méter per másodpercnégyzetet évet	{0} méter per másodpercnégyzetet	2 méter per másodpercnégyzetet évet
acceleration	meters per second squared	instrumental	{0} méter per másodpercnégyzettel	1 méter per másodpercnégyzettel évvel	{0} méter per másodpercnégyzettel	2 méter per másodpercnégyzettel évvel
acceleration	meters per second squared	translative	{0} méter per másodpercnégyzetté	1 méter per másodpercnégyzetté évvé	{0} méter per másodpercnégyzetté	2 méter per másodpercnégyzetté évvé
acceleration	meters per second squared	terminative	{0} méter per másodpercnégyzetig	1 méter per másodpercnégyzetig évig	{0} méter per másodpercnégyzetig	2 méter per másodpercnégyzetig évig
acceleration	g-force • ( = 9.80665 m/s²)	nominative	{0} g gyorsulás	1 g gyorsulás év	{0} g gyorsulás	2 g gyorsulás év
acceleration	g-force • ( = 9.80665 m/s²)	accusative	{0} g gyorsulást	1 g gyorsulást évet	{0} g gyorsulást	2 g gyorsulást évet
acceleration	g-force • ( = 9.80665 m/s²)	instrumental	{0} g gyorsulással	1 g gyorsulással évvel	{0} g gyorsulással	2 g gyorsulással évvel
acceleration	g-force • ( = 9.80665 m/s²)	translative	{0} g gyorsulássá	1 g gyorsulássá évvé	{0} g gyorsulássá	2 g gyorsulássá évvé
acceleration	g-force • ( = 9.80665 m/s²)	terminative	{0} g gyorsulásig	1 g gyorsulásig évig	{0} g gyorsulásig	2 g gyorsulásig évig
angle	arc-second • ( = 0.0000007˙716049382 rev)	nominative	{0} ívmásodperc	1 ívmásodperc év	{0} ívmásodperc	2 ívmásodperc év
angle	arc-second • ( = 0.0000007˙716049382 rev)	accusative	{0} ívmásodpercet	1 ívmásodpercet évet	{0} ívmásodpercet	2 ívmásodpercet évet
angle	arc-second • ( = 0.0000007˙716049382 rev)	instrumental	{0} ívmásodperccel	1 ívmásodperccel évvel	{0} ívmásodperccel	2 ívmásodperccel évvel
angle	arc-second • ( = 0.0000007˙716049382 rev)	translative	{0} ívmásodperccé	1 ívmásodperccé évvé	{0} ívmásodperccé	2 ívmásodperccé évvé
angle	arc-second • ( = 0.0000007˙716049382 rev)	terminative	{0} ívmásodpercig	1 ívmásodpercig évig	{0} ívmásodpercig	2 ívmásodpercig évig
angle	arc-minute • ( = 0.00004˙629 rev)	nominative	{0} ívperc	1 ívperc év	{0} ívperc	2 ívperc év
angle	arc-minute • ( = 0.00004˙629 rev)	accusative	{0} ívpercet	1 ívpercet évet	{0} ívpercet	2 ívpercet évet
angle	arc-minute • ( = 0.00004˙629 rev)	instrumental	{0} ívperccel	1 ívperccel évvel	{0} ívperccel	2 ívperccel évvel
